world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,start_date,Big5_flag,rank_date,clean_country,rank
2002,Korea/Japan,Iceland,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Iceland,56.0
2006,Germany,Iceland,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Iceland,99.0
2010,South Africa,Iceland,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Iceland,90.0
2014,Brazil,Iceland,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Iceland,52.0
2018,Russia,Iceland,Group stage,1.0,3.0,0.0,2,5,2018-06-14,0.1304347826086956,2018-06-07,Iceland,22.0
2022,Qatar,Iceland,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Iceland,62.0
1994,USA,Iran,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Iran,58.0
1998,France,Iran,Group stage,1.0,3.0,1.0,2,4,1998-06-10,0.0454545454545454,1998-05-20,Iran,42.0
2002,Korea/Japan,Iran,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Iran,30.0
2006,Germany,Iran,Group stage,1.0,3.0,0.0,2,6,2006-06-09,0.217391304347826,2006-05-17,Iran,23.0
2010,South Africa,Iran,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Iran,61.0
2014,Brazil,Iran,Group stage,1.0,3.0,0.0,1,4,2014-06-12,0.0434782608695652,2014-06-05,Iran,43.0
2018,Russia,Iran,Group stage,1.0,3.0,1.0,2,2,2018-06-14,0.0,2018-06-07,Iran,37.0
2022,Qatar,Iran,Group stage,1.0,3.0,1.0,4,7,2022-11-20,0.08,2022-10-06,Iran,20.0
1994,USA,Italy,Runners-up,6.0,7.0,4.0,8,5,1994-06-17,1.0,1994-06-14,Italy,4.0
1998,France,Italy,Quarter-finals,3.0,5.0,3.0,8,3,1998-06-10,1.0,1998-05-20,Italy,14.0
2002,Korea/Japan,Italy,Round of 16,2.0,4.0,1.0,5,5,2002-05-31,1.0,2002-05-15,Italy,6.0
2006,Germany,Italy,Winner,7.0,7.0,6.0,12,2,2006-06-09,0.9565217391304348,2006-05-17,Italy,13.0
2010,South Africa,Italy,Group stage,1.0,3.0,0.0,4,5,2010-06-11,1.0,2010-05-26,Italy,5.0
2014,Brazil,Italy,Group stage,1.0,3.0,1.0,2,3,2014-06-12,1.0,2014-06-05,Italy,9.0
2018,Russia,Italy,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Italy,19.0
2022,Qatar,Italy,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Italy,6.0
1994,USA,Ivory Coast,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Ivory Coast,21.0
1998,France,Ivory Coast,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Ivory Coast,44.0
2002,Korea/Japan,Ivory Coast,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Ivory Coast,46.0
2006,Germany,Ivory Coast,Group stage,1.0,3.0,1.0,5,6,2006-06-09,0.6956521739130435,2006-05-17,Ivory Coast,32.0
2010,South Africa,Ivory Coast,Group stage,1.0,3.0,1.0,4,3,2010-06-11,0.6521739130434783,2010-05-26,Ivory Coast,27.0
2014,Brazil,Ivory Coast,Group stage,1.0,3.0,1.0,4,5,2014-06-12,0.5652173913043478,2014-06-05,Ivory Coast,23.0
2018,Russia,Ivory Coast,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Ivory Coast,68.0
2022,Qatar,Ivory Coast,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Ivory Coast,48.0
1994,USA,Jamaica,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Jamaica,70.0
1998,France,Jamaica,Group stage,1.0,3.0,1.0,3,9,1998-06-10,0.2272727272727272,1998-05-20,Jamaica,30.0
2002,Korea/Japan,Jamaica,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Jamaica,57.0
2006,Germany,Jamaica,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Jamaica,46.0
2010,South Africa,Jamaica,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Jamaica,81.0
2014,Brazil,Jamaica,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Jamaica,81.0
2018,Russia,Jamaica,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Jamaica,54.0
2022,Qatar,Jamaica,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Jamaica,64.0
1994,USA,Japan,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Japan,52.0
1998,France,Japan,Group stage,1.0,3.0,0.0,1,4,1998-06-10,0.0,1998-05-20,Japan,12.0
2002,Korea/Japan,Japan,Round of 16,2.0,4.0,2.0,5,3,2002-05-31,0.0869565217391304,2002-05-15,Japan,32.0
2006,Germany,Japan,Group stage,1.0,3.0,0.0,2,7,2006-06-09,0.1304347826086956,2006-05-17,Japan,18.0
2010,South Africa,Japan,Round of 16,2.0,4.0,2.0,4,2,2010-06-11,0.1304347826086956,2010-05-26,Japan,45.0
2014,Brazil,Japan,Group stage,1.0,3.0,0.0,2,6,2014-06-12,0.4347826086956521,2014-06-05,Japan,46.0
2018,Russia,Japan,Round of 16,2.0,4.0,1.0,6,7,2018-06-14,0.4782608695652174,2018-06-07,Japan,61.0
2022,Qatar,Japan,Round of 16,2.0,4.0,2.0,5,4,2022-11-20,0.3846153846153846,2022-10-06,Japan,24.0
1994,USA,Mexico,Round of 16,2.0,4.0,1.0,4,4,1994-06-17,0.0909090909090909,1994-06-14,Mexico,16.0
1998,France,Mexico,Round of 16,2.0,4.0,1.0,8,7,1998-06-10,0.0,1998-05-20,Mexico,4.0
2002,Korea/Japan,Mexico,Round of 16,2.0,4.0,2.0,4,4,2002-05-31,0.1739130434782608,2002-05-15,Mexico,7.0
2006,Germany,Mexico,Round of 16,2.0,4.0,1.0,5,5,2006-06-09,0.1304347826086956,2006-05-17,Mexico,4.0
2010,South Africa,Mexico,Round of 16,2.0,4.0,1.0,4,5,2010-06-11,0.217391304347826,2010-05-26,Mexico,17.0
2014,Brazil,Mexico,Round of 16,2.0,4.0,2.0,5,3,2014-06-12,0.2608695652173913,2014-06-05,Mexico,20.0
2018,Russia,Mexico,Round of 16,2.0,4.0,2.0,3,6,2018-06-14,0.2608695652173913,2018-06-07,Mexico,15.0
2022,Qatar,Mexico,Group stage,1.0,3.0,1.0,2,3,2022-11-20,0.1153846153846153,2022-10-06,Mexico,13.0
1994,USA,Morocco,Group stage,1.0,3.0,0.0,2,5,1994-06-17,0.1363636363636363,1994-06-14,Morocco,28.0
1998,France,Morocco,Group stage,1.0,3.0,1.0,5,5,1998-06-10,0.3181818181818182,1998-05-20,Morocco,13.0
2002,Korea/Japan,Morocco,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Morocco,39.0
2006,Germany,Morocco,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Morocco,36.0
2010,South Africa,Morocco,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Morocco,70.0
2014,Brazil,Morocco,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Morocco,77.0
2018,Russia,Morocco,Group stage,1.0,3.0,0.0,2,4,2018-06-14,0.391304347826087,2018-06-07,Morocco,41.0
2022,Qatar,Morocco,Fourth place,4.0,7.0,4.0,6,5,2022-11-20,0.5,2022-10-06,Morocco,22.0
1994,USA,Netherlands,Quarter-finals,3.0,5.0,3.0,8,6,1994-06-17,0.2272727272727272,1994-06-14,Netherlands,2.0
1998,France,Netherlands,Fourth place,4.0,7.0,3.0,13,7,1998-06-10,0.5,1998-05-20,Netherlands,25.0
2002,Korea/Japan,Netherlands,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Netherlands,9.0
2006,Germany,Netherlands,Round of 16,2.0,4.0,2.0,3,2,2006-06-09,0.391304347826087,2006-05-17,Netherlands,3.0
2010,South Africa,Netherlands,Runners-up,6.0,7.0,6.0,12,6,2010-06-11,0.5652173913043478,2010-05-26,Netherlands,4.0
2014,Brazil,Netherlands,Third place,5.0,7.0,6.0,15,4,2014-06-12,0.391304347826087,2014-06-05,Netherlands,15.0
2018,Russia,Netherlands,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Netherlands,17.0
2022,Qatar,Netherlands,Quarter-finals,3.0,5.0,3.0,10,4,2022-11-20,0.4230769230769231,2022-10-06,Netherlands,8.0
1994,USA,New Zealand,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,New Zealand,90.0
1998,France,New Zealand,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,New Zealand,117.0
2002,Korea/Japan,New Zealand,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,New Zealand,87.0
2006,Germany,New Zealand,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,New Zealand,118.0
2010,South Africa,New Zealand,Group stage,1.0,3.0,0.0,2,2,2010-06-11,0.0434782608695652,2010-05-26,New Zealand,78.0
2014,Brazil,New Zealand,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,New Zealand,97.0
2018,Russia,New Zealand,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,New Zealand,120.0
2022,Qatar,New Zealand,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,New Zealand,105.0
1994,USA,Nigeria,Round of 16,2.0,4.0,2.0,7,4,1994-06-17,0.2727272727272727,1994-06-14,Nigeria,11.0
1998,France,Nigeria,Round of 16,2.0,4.0,2.0,6,9,1998-06-10,0.4090909090909091,1998-05-20,Nigeria,74.0
2002,Korea/Japan,Nigeria,Group stage,1.0,3.0,0.0,1,3,2002-05-31,0.2608695652173913,2002-05-15,Nigeria,27.0
2006,Germany,Nigeria,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Nigeria,11.0
2010,South Africa,Nigeria,Group stage,1.0,3.0,0.0,3,5,2010-06-11,0.5652173913043478,2010-05-26,Nigeria,21.0
2014,Brazil,Nigeria,Round of 16,2.0,4.0,1.0,3,5,2014-06-12,0.3478260869565217,2014-06-05,Nigeria,44.0
2018,Russia,Nigeria,Group stage,1.0,3.0,1.0,3,4,2018-06-14,0.4347826086956521,2018-06-07,Nigeria,48.0
2022,Qatar,Nigeria,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Nigeria,32.0
1994,USA,North Korea,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,North Korea,71.0
1998,France,North Korea,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,North Korea,170.0
2002,Korea/Japan,North Korea,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,North Korea,126.0
2006,Germany,North Korea,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,North Korea,88.0
2010,South Africa,North Korea,Group stage,1.0,3.0,0.0,1,12,2010-06-11,0.0,2010-05-26,North Korea,105.0
2014,Brazil,North Korea,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,North Korea,146.0
2018,Russia,North Korea,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,North Korea,108.0
2022,Qatar,North Korea,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,North Korea,112.0
1994,USA,Norway,Group stage,1.0,3.0,1.0,1,1,1994-06-17,0.4090909090909091,1994-06-14,Norway,6.0
1998,France,Norway,Round of 16,2.0,4.0,1.0,5,5,1998-06-10,0.6363636363636364,1998-05-20,Norway,7.0
2002,Korea/Japan,Norway,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Norway,33.0
2006,Germany,Norway,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Norway,40.0
2010,South Africa,Norway,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Norway,22.0
2014,Brazil,Norway,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Norway,55.0
2018,Russia,Norway,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Norway,53.0
2022,Qatar,Norway,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Norway,42.0
1994,USA,Panama,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Panama,131.0
1998,France,Panama,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Panama,127.0
2002,Korea/Japan,Panama,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Panama,111.0
2006,Germany,Panama,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Panama,81.0
2010,South Africa,Panama,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Panama,74.0
2014,Brazil,Panama,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Panama,31.0
2018,Russia,Panama,Group stage,1.0,3.0,0.0,2,11,2018-06-14,0.0,2018-06-07,Panama,55.0
2022,Qatar,Panama,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Panama,60.0
1994,USA,Paraguay,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Paraguay,60.0
1998,France,Paraguay,Round of 16,2.0,4.0,1.0,3,2,1998-06-10,0.0909090909090909,1998-05-20,Paraguay,29.0
2002,Korea/Japan,Paraguay,Round of 16,2.0,4.0,1.0,6,7,2002-05-31,0.0869565217391304,2002-05-15,Paraguay,18.0
2006,Germany,Paraguay,Group stage,1.0,3.0,1.0,2,2,2006-06-09,0.2608695652173913,2006-05-17,Paraguay,33.0
2010,South Africa,Paraguay,Quarter-finals,3.0,5.0,2.0,3,2,2010-06-11,0.3043478260869565,2010-05-26,Paraguay,31.0
2014,Brazil,Paraguay,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Paraguay,50.0
2018,Russia,Paraguay,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Paraguay,32.0
2022,Qatar,Paraguay,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Paraguay,47.0
1994,USA,Peru,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Peru,67.0
1998,France,Peru,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Peru,37.0
2002,Korea/Japan,Peru,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Peru,47.0
2006,Germany,Peru,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Peru,66.0
2010,South Africa,Peru,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Peru,53.0
2014,Brazil,Peru,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Peru,45.0
2018,Russia,Peru,Group stage,1.0,3.0,1.0,2,2,2018-06-14,0.0434782608695652,2018-06-07,Peru,11.0
2022,Qatar,Peru,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Peru,23.0
1994,USA,Poland,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Poland,32.0
1998,France,Poland,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Poland,54.0
2002,Korea/Japan,Poland,Group stage,1.0,3.0,1.0,3,7,2002-05-31,0.3478260869565217,2002-05-15,Poland,38.0
2006,Germany,Poland,Group stage,1.0,3.0,1.0,2,4,2006-06-09,0.1739130434782608,2006-05-17,Poland,29.0
2010,South Africa,Poland,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Poland,58.0
2014,Brazil,Poland,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Poland,69.0
2018,Russia,Poland,Group stage,1.0,3.0,1.0,2,5,2018-06-14,0.6086956521739131,2018-06-07,Poland,8.0
2022,Qatar,Poland,Round of 16,2.0,4.0,1.0,3,5,2022-11-20,0.5769230769230769,2022-10-06,Poland,26.0
1994,USA,Portugal,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Portugal,22.0
1998,France,Portugal,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Portugal,39.0
2002,Korea/Japan,Portugal,Group stage,1.0,3.0,1.0,6,4,2002-05-31,0.3478260869565217,2002-05-15,Portugal,5.0
2006,Germany,Portugal,Fourth place,4.0,7.0,5.0,7,5,2006-06-09,0.5652173913043478,2006-05-17,Portugal,7.0
2010,South Africa,Portugal,Round of 16,2.0,4.0,1.0,7,1,2010-06-11,0.4782608695652174,2010-05-26,Portugal,3.0
2014,Brazil,Portugal,Group stage,1.0,3.0,1.0,4,7,2014-06-12,0.4347826086956521,2014-06-05,Portugal,4.0
2018,Russia,Portugal,Round of 16,2.0,4.0,1.0,6,6,2018-06-14,0.4782608695652174,2018-06-07,Portugal,4.0
2022,Qatar,Portugal,Quarter-finals,3.0,5.0,3.0,12,6,2022-11-20,0.6923076923076923,2022-10-06,Portugal,9.0
1994,USA,Qatar,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Qatar,69.0
1998,France,Qatar,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Qatar,70.0
2002,Korea/Japan,Qatar,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Qatar,73.0
2006,Germany,Qatar,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Qatar,78.0
2010,South Africa,Qatar,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Qatar,96.0
2014,Brazil,Qatar,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Qatar,100.0
2018,Russia,Qatar,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Qatar,98.0
2022,Qatar,Qatar,Group stage,1.0,3.0,0.0,1,7,2022-11-20,0.0,2022-10-06,Qatar,50.0
1994,USA,Republic of Ireland,Round of 16,2.0,4.0,1.0,2,4,1994-06-17,0.7272727272727273,1994-06-14,Republic of Ireland,14.0
1998,France,Republic of Ireland,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Republic of Ireland,46.0
2002,Korea/Japan,Republic of Ireland,Round of 16,2.0,4.0,1.0,6,3,2002-05-31,0.7391304347826086,2002-05-15,Republic of Ireland,15.0
2006,Germany,Republic of Ireland,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Republic of Ireland,31.0
2010,South Africa,Republic of Ireland,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Republic of Ireland,41.0
2014,Brazil,Republic of Ireland,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Republic of Ireland,70.0
2018,Russia,Republic of Ireland,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Republic of Ireland,31.0
2022,Qatar,Republic of Ireland,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Republic of Ireland,49.0
1994,USA,Romania,Quarter-finals,3.0,5.0,3.0,10,9,1994-06-17,0.1818181818181818,1994-06-14,Romania,7.0
1998,France,Romania,Round of 16,2.0,4.0,2.0,4,3,1998-06-10,0.3636363636363636,1998-05-20,Romania,22.0
2002,Korea/Japan,Romania,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Romania,14.0
2006,Germany,Romania,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Romania,25.0
2010,South Africa,Romania,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Romania,28.0
2014,Brazil,Romania,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Romania,29.0
2018,Russia,Romania,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Romania,30.0
2022,Qatar,Romania,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Romania,53.0
1994,USA,Russia,Group stage,1.0,3.0,1.0,7,6,1994-06-17,0.3181818181818182,1994-06-14,Russia,19.0
1998,France,Russia,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Russia,16.0
2002,Korea/Japan,Russia,Group stage,1.0,3.0,1.0,4,4,2002-05-31,0.217391304347826,2002-05-15,Russia,28.0
2006,Germany,Russia,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Russia,37.0
2010,South Africa,Russia,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Russia,11.0
2014,Brazil,Russia,Group stage,1.0,3.0,0.0,2,3,2014-06-12,0.0,2014-06-05,Russia,19.0
2018,Russia,Russia,Quarter-finals,3.0,5.0,3.0,11,7,2018-06-14,0.0434782608695652,2018-06-07,Russia,70.0
2022,Qatar,Russia,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Russia,33.0
1994,USA,Saudi Arabia,Round of 16,2.0,4.0,2.0,5,6,1994-06-17,0.0,1994-06-14,Saudi Arabia,34.0
1998,France,Saudi Arabia,Group stage,1.0,3.0,0.0,2,7,1998-06-10,0.0,1998-05-20,Saudi Arabia,34.0
2002,Korea/Japan,Saudi Arabia,Group stage,1.0,3.0,0.0,0,12,2002-05-31,0.0,2002-05-15,Saudi Arabia,34.0
2006,Germany,Saudi Arabia,Group stage,1.0,3.0,0.0,2,7,2006-06-09,0.0,2006-05-17,Saudi Arabia,34.0
2010,South Africa,Saudi Arabia,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Saudi Arabia,66.0
2014,Brazil,Saudi Arabia,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Saudi Arabia,90.0
2018,Russia,Saudi Arabia,Group stage,1.0,3.0,1.0,2,7,2018-06-14,0.1304347826086956,2018-06-07,Saudi Arabia,67.0
2022,Qatar,Saudi Arabia,Group stage,1.0,3.0,1.0,3,5,2022-11-20,0.0,2022-10-06,Saudi Arabia,51.0
1994,USA,Scotland,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Scotland,33.0
1998,France,Scotland,Group stage,1.0,3.0,0.0,2,6,1998-06-10,0.3636363636363636,1998-05-20,Scotland,41.0
2002,Korea/Japan,Scotland,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Scotland,55.0
2006,Germany,Scotland,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Scotland,59.0
2010,South Africa,Scotland,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Scotland,43.0
2014,Brazil,Scotland,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Scotland,27.0
2018,Russia,Scotland,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Scotland,42.0
2022,Qatar,Scotland,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Scotland,40.0
1994,USA,Senegal,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Senegal,55.0
1998,France,Senegal,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Senegal,78.0
2002,Korea/Japan,Senegal,Quarter-finals,3.0,5.0,2.0,7,6,2002-05-31,0.7391304347826086,2002-05-15,Senegal,42.0
2006,Germany,Senegal,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Senegal,28.0
2010,South Africa,Senegal,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Senegal,75.0
2014,Brazil,Senegal,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Senegal,74.0
2018,Russia,Senegal,Group stage,1.0,3.0,1.0,4,4,2018-06-14,0.6956521739130435,2018-06-07,Senegal,27.0
2022,Qatar,Senegal,Round of 16,2.0,4.0,2.0,5,7,2022-11-20,0.6538461538461539,2022-10-06,Senegal,18.0
1994,USA,Serbia,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Serbia,78.0
1998,France,Serbia,Round of 16,2.0,4.0,2.0,5,4,1998-06-10,0.7272727272727273,1998-05-20,Serbia,8.0
2002,Korea/Japan,Serbia,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Serbia,10.0
2006,Germany,Serbia,Group stage,1.0,3.0,0.0,2,10,2006-06-09,0.3478260869565217,2006-05-17,Serbia,44.0
2010,South Africa,Serbia,Group stage,1.0,3.0,1.0,2,3,2010-06-11,0.5652173913043478,2010-05-26,Serbia,15.0
2014,Brazil,Serbia,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Serbia,30.0
2018,Russia,Serbia,Group stage,1.0,3.0,1.0,2,4,2018-06-14,0.5217391304347826,2018-06-07,Serbia,34.0
2022,Qatar,Serbia,Group stage,1.0,3.0,0.0,5,8,2022-11-20,0.6153846153846154,2022-10-06,Serbia,21.0
1994,USA,Slovakia,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Slovakia,44.0
1998,France,Slovakia,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Slovakia,40.0
2002,Korea/Japan,Slovakia,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Slovakia,49.0
2006,Germany,Slovakia,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Slovakia,41.0
2010,South Africa,Slovakia,Round of 16,2.0,4.0,1.0,5,7,2010-06-11,0.2608695652173913,2010-05-26,Slovakia,34.0
2014,Brazil,Slovakia,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Slovakia,49.0
2018,Russia,Slovakia,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Slovakia,28.0
2022,Qatar,Slovakia,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Slovakia,55.0
1994,USA,Slovenia,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,Slovenia,79.0
1998,France,Slovenia,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Slovenia,94.0
2002,Korea/Japan,Slovenia,Group stage,1.0,3.0,0.0,2,7,2002-05-31,0.1739130434782608,2002-05-15,Slovenia,25.0
2006,Germany,Slovenia,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Slovenia,71.0
2010,South Africa,Slovenia,Group stage,1.0,3.0,1.0,3,3,2010-06-11,0.3043478260869565,2010-05-26,Slovenia,25.0
2014,Brazil,Slovenia,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Slovenia,25.0
2018,Russia,Slovenia,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Slovenia,56.0
2022,Qatar,Slovenia,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Slovenia,63.0
1994,USA,South Africa,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,South Africa,76.0
