world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,start_date,Big5_flag,rank_date,clean_country,rank
2002,Korea/Japan,Bolivia,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Bolivia,70.0
2006,Germany,Bolivia,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Bolivia,102.0
2010,South Africa,Bolivia,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Bolivia,65.0
2014,Brazil,Bolivia,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Bolivia,67.0
2018,Russia,Bolivia,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Bolivia,59.0
2022,Qatar,Bolivia,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Bolivia,82.0
1994,USA,Bosnia and Herzegovina,Did not qualify,0.0,0.0,0.0,0,0,1994-06-17,,1994-06-14,,
1998,France,Bosnia and Herzegovina,Did not qualify,0.0,0.0,0.0,0,0,1998-06-10,,1998-05-20,Bosnia and Herzegovina,102.0
2002,Korea/Japan,Bosnia and Herzegovina,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Bosnia and Herzegovina,72.0
2006,Germany,Bosnia and Herzegovina,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Bosnia and Herzegovina,63.0
2010,South Africa,Bosnia and Herzegovina,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Bosnia and Herzegovina,51.0
2014,Brazil,Bosnia and Herzegovina,Group stage,1.0,3.0,1.0,4,4,2014-06-12,0.3478260869565217,2014-06-05,Bosnia and Herzegovina,21.0
2018,Russia,Bosnia and Herzegovina,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Bosnia and Herzegovina,40.0
2022,Qatar,Bosnia and Herzegovina,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Bosnia and Herzegovina,58.0
1994,USA,Brazil,Winner,7.0,7.0,6.0,11,3,1994-06-17,0.4545454545454545,1994-06-14,Brazil,3.0
1998,France,Brazil,Runners-up,6.0,7.0,5.0,14,10,1998-06-10,0.4090909090909091,1998-05-20,Brazil,1.0
2002,Korea/Japan,Brazil,Winner,7.0,7.0,7.0,18,4,2002-05-31,0.391304347826087,2002-05-15,Brazil,2.0
2006,Germany,Brazil,Quarter-finals,3.0,5.0,4.0,10,2,2006-06-09,0.6521739130434783,2006-05-17,Brazil,1.0
2010,South Africa,Brazil,Quarter-finals,3.0,5.0,3.0,9,4,2010-06-11,0.6956521739130435,2010-05-26,Brazil,1.0
2014,Brazil,Brazil,Fourth place,4.0,7.0,4.0,11,14,2014-06-12,0.6956521739130435,2014-06-05,Brazil,3.0
2018,Russia,Brazil,Quarter-finals,3.0,5.0,3.0,8,3,2018-06-14,0.7391304347826086,2018-06-07,Brazil,2.0
2022,Qatar,Brazil,Quarter-finals,3.0,5.0,3.0,8,3,2022-11-20,0.8461538461538461,2022-10-06,Brazil,1.0
1994,USA,Bulgaria,Fourth place,4.0,7.0,4.0,10,11,1994-06-17,0.1818181818181818,1994-06-14,Bulgaria,29.0
1998,France,Bulgaria,Group stage,1.0,3.0,0.0,1,7,1998-06-10,0.2272727272727272,1998-05-20,Bulgaria,35.0
2002,Korea/Japan,Bulgaria,Did not qualify,0.0,0.0,0.0,0,0,2002-05-31,,2002-05-15,Bulgaria,54.0
2006,Germany,Bulgaria,Did not qualify,0.0,0.0,0.0,0,0,2006-06-09,,2006-05-17,Bulgaria,37.0
2010,South Africa,Bulgaria,Did not qualify,0.0,0.0,0.0,0,0,2010-06-11,,2010-05-26,Bulgaria,39.0
2014,Brazil,Bulgaria,Did not qualify,0.0,0.0,0.0,0,0,2014-06-12,,2014-06-05,Bulgaria,78.0
2018,Russia,Bulgaria,Did not qualify,0.0,0.0,0.0,0,0,2018-06-14,,2018-06-07,Bulgaria,49.0
2022,Qatar,Bulgaria,Did not qualify,0.0,0.0,0.0,0,0,2022-11-20,,2022-10-06,Bulgaria,72.0
