world_cup_year,host_country,team,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against
2014,Brazil,Brazil,Fourth place,4.0,7.0,4.0,11.0,14.0
2018,Russia,Brazil,Quarter-finals,3.0,5.0,3.0,8.0,3.0
1986,Mexico,Bulgaria,Round of 16,2.0,4.0,0.0,2.0,6.0
1990,Italy,Bulgaria,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Bulgaria,Fourth place,4.0,7.0,4.0,10.0,11.0
1998,France,Bulgaria,Group stage,1.0,3.0,0.0,1.0,7.0
2002,Korea/Japan,Bulgaria,Did not qualify,0.0,0.0,0.0,0.0,0.0
2006,Germany,Bulgaria,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Bulgaria,Did not qualify,0.0,0.0,0.0,0.0,0.0
2014,Brazil,Bulgaria,Did not qualify,0.0,0.0,0.0,0.0,0.0
2018,Russia,Bulgaria,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Cameroon,Did not qualify,0.0,0.0,0.0,0.0,0.0
1990,Italy,Cameroon,Quarter-finals,3.0,5.0,3.0,7.0,9.0
1994,USA,Cameroon,Group stage,1.0,3.0,0.0,3.0,11.0
1998,France,Cameroon,Group stage,1.0,3.0,0.0,2.0,5.0
2002,Korea/Japan,Cameroon,Group stage,1.0,3.0,1.0,2.0,3.0
2006,Germany,Cameroon,Did not qualify,0.0,0.0,0.0,0.0,0.0
2010,South Africa,Cameroon,Group stage,1.0,3.0,0.0,2.0,5.0
2014,Brazil,Cameroon,Group stage,1.0,3.0,0.0,1.0,9.0
2018,Russia,Cameroon,Did not qualify,0.0,0.0,0.0,0.0,0.0
1986,Mexico,Canada,Group stage,1.0,3.0,0.0,0.0,5.0
1990,Italy,Canada,Did not qualify,0.0,0.0,0.0,0.0,0.0
1994,USA,Canada,Did not qualify,0.0,0.0,0.0,0.0,0.0
1998,France,Canada,Did not qualify,0.0,0.0,0.0,0.0,0.0
2002,Korea/Japan,Canada,Did not qualify,0.0,0.0,0.0,0.0,0.0
