world_cup_year,team,host_country,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,Big5_flag,start_date,rank_date,clean_country,rank,gdp_per_capita_tminus0,gdp_per_capita_tminus1,gdp_per_capita_tminus2,gdp_per_capita_tminus3,norm_gdp_per_capita_tminus0,norm_gdp_per_capita_tminus1,norm_gdp_per_capita_tminus2,norm_gdp_per_capita_tminus3,hdi_tminus0,hdi_tminus1,hdi_tminus2,hdi_tminus3,life_expectancy_tminus0,life_expectancy_tminus1,life_expectancy_tminus2,life_expectancy_tminus3,mean_school_years_tminus0,mean_school_years_tminus1,mean_school_years_tminus2,mean_school_years_tminus3
2002,Angola,Korea/Japan,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2002-05-31,2002-05-15,Angola,58.0,882.147847234303,533.586202412447,563.733795571487,392.725539027496,-0.4556915368721845,-0.4746548514359496,-0.4730146873475931,-0.4823183023896386,0.417,0.401,0.391,0.379,47.874,47.032,46.501,45.808,3.505191693,3.464791,3.425745773,3.387140553
2006,Angola,Germany,Group stage,1.0,3.0,0.0,1.0,2.0,0.0,2006-06-09,2006-05-17,Angola,57.0,2617.05196022633,1916.46842218625,1266.21086410236,992.698979254665,-0.3613049830978808,-0.3994198652354135,-0.4347967886709017,-0.4496770601704983,0.475,0.463,0.448,0.435,52.965,52.13,51.123,50.218,3.666794465,3.626393772,3.585993079,3.545592386
2010,Angola,South Africa,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2010-06-11,2010-05-26,Angola,88.0,3597.34293216332,3136.64546955947,4103.0669003635,3141.0459797605,-0.3079727638447811,-0.3330367691129175,-0.2804591150142651,-0.3327973616496384,0.528,0.517,0.504,0.492,57.242,56.225,55.281,54.2,3.828397237,3.787996544,3.747595851,3.707195158
2014,Angola,Brazil,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2014-06-12,2014-06-05,Angola,93.0,5005.9997412707,5057.74787833163,5086.02740086376,4615.91059831778,-0.2313355245491453,-0.2285201941312596,-0.2269816614514407,-0.2525581209983515,0.577,0.567,0.557,0.545,60.396,59.705,58.916,58.093,3.99000001,3.949599316,3.909198623,3.86879793
2018,Angola,Russia,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2018-06-14,2018-06-07,Angola,137.0,2538.59139143371,2437.25971190821,1807.95294072643,3213.90261080059,-0.3655735894375909,-0.3710864866328598,-0.4053235934296407,-0.3288336346217391,0.611,0.61,0.609,0.603,62.622,62.122,61.619,61.042,5.626794086,5.521099768,5.417390823,5.315629959
2022,Angola,,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2022-11-20,2022-10-06,Angola,119.0,2929.69445467272,1925.87466082167,1449.92286669308,2189.85571407618,-0.3442958311838279,-0.3989081237264002,-0.4248020329482875,-0.3845463721507275,0.615,0.609,0.61,0.611,64.246,62.958,63.116,63.051,5.956173009,5.956173009,5.844291601,5.734511785
1994,Argentina,USA,Round of 16,2.0,4.0,2.0,8.0,6.0,0.3636363636363636,1994-06-17,1994-06-14,Argentina,8.0,7437.56242327594,6931.85596375876,6789.99611136495,5709.24784079504,-0.0990476245309312,-0.1265603208106768,-0.1342781321214652,-0.1930756783332317,0.753,0.748,0.743,0.739,72.732,72.303,72.096,72.02,8.393999672,8.325999641,8.257999611,8.18999958
1998,Argentina,France,Quarter-finals,3.0,5.0,4.0,10.0,4.0,0.7272727272727273,1998-06-10,1998-05-20,Argentina,6.0,8218.99212764682,8146.78710021431,7663.21271287469,7357.6162773788,-0.0565343488633559,-0.0604626257366986,-0.0867712381681897,-0.1033970529185066,0.772,0.768,0.76,0.754,73.412,73.407,73.056,72.864,8.665999794,8.597999763,8.529999733,8.461999702
2002,Argentina,Korea/Japan,Group stage,1.0,3.0,1.0,2.0,2.0,0.7391304347826086,2002-05-31,2002-05-15,Argentina,3.0,2569.69963519124,7141.47507662826,7637.01489203628,7705.54288252851,-0.3638811616542592,-0.115156102260029,-0.0881965169526579,-0.0844682873570263,0.795,0.795,0.789,0.783,74.312,74.154,73.91,73.683,9.394999981,8.869999886,8.801999855,8.733999825
2006,Argentina,Germany,Quarter-finals,3.0,5.0,3.0,11.0,3.0,0.7391304347826086,2006-06-09,2006-05-17,Argentina,9.0,5869.38028970204,5067.65342293276,4242.02099089422,3320.47775133903,-0.1843637559355695,-0.2279812881414952,-0.2728993901627179,-0.323035469663742,0.822,0.812,0.808,0.804,75.279,75.231,74.871,74.307,10.18999958,10.09999975,10.00999991,9.920000076
2010,Argentina,South Africa,Quarter-finals,3.0,5.0,4.0,10.0,6.0,0.6086956521739131,2010-06-11,2010-05-26,Argentina,7.0,10260.1313108254,8150.23527028221,8944.1102657357,7185.25155147027,0.0545127642486576,-0.0602750298418595,-0.0170846746012927,-0.112774465969134,0.844,0.835,0.833,0.825,75.68,75.577,75.428,74.783,10.60000038,10.53999996,10.40999985,10.29999971
2014,Argentina,Brazil,Runners-up,6.0,7.0,6.0,8.0,4.0,0.6956521739130435,2014-06-12,2014-06-05,Argentina,5.0,12233.1444119186,12963.675773326,12949.717486654,12704.2831819684,0.1618535133823793,0.2015976912369001,0.2008382979276689,0.1874855725385322,0.855,0.852,0.85,0.852,76.268,75.829,75.802,76.1,10.90999985,10.89000034,10.78999996,10.69999981
