world_cup_year,team,host_country,max_stage,max_stage_numeric,matches_played,matches_won,goals_for,goals_against,Big5_flag,start_date,rank_date,clean_country,rank,gdp_per_capita_tminus0,gdp_per_capita_tminus1,gdp_per_capita_tminus2,gdp_per_capita_tminus3,norm_gdp_per_capita_tminus0,norm_gdp_per_capita_tminus1,norm_gdp_per_capita_tminus2,norm_gdp_per_capita_tminus3,hdi_tminus0,hdi_tminus1,hdi_tminus2,hdi_tminus3,life_expectancy_tminus0,life_expectancy_tminus1,life_expectancy_tminus2,life_expectancy_tminus3,mean_school_years_tminus0,mean_school_years_tminus1,mean_school_years_tminus2,mean_school_years_tminus3
2022,Croatia,Qatar,Third place,5.0,7.0,4.0,8.0,7.0,0.5384615384615384,2022-11-20,2022-10-06,Croatia,12.0,18466.0955472648,17789.9304736722,14808.4620188819,15563.8167397199,0.5009539703490548,0.46416756203921,0.3019623251462429,0.343057004928916,0.886,0.876,0.867,0.872,78.278,77.141,77.497,78.197,12.0951217,12.0951217,11.95072257,11.84918288
1994,Czech Republic,USA,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1994-06-17,1994-06-14,Czech Republic,45.0,4663.28665345469,3984.1463439879,3396.70972430469,2917.08655474323,-0.2499806514181553,-0.2869289258845949,-0.3188881089181181,-0.3449817574063576,0.771,0.76,0.752,0.751,73.082,72.853,72.33,71.97,9.855999947,9.667333285,9.478666623,9.289999962
1998,Czech Republic,France,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1998-06-10,1998-05-20,Czech Republic,3.0,6526.59635780951,6069.38762357837,6573.19643136362,5865.29460556726,-0.1486082583900708,-0.1734824612099399,-0.1460730056833284,-0.184586035450849,0.802,0.797,0.793,0.781,74.553,73.946,73.834,73.177,10.61066659,10.42199993,10.23333327,10.04466661
2002,Czech Republic,Korea/Japan,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2002-05-31,2002-05-15,Czech Republic,16.0,8101.26018588111,6669.07494847497,6062.92152842793,6377.6211077224,-0.0629394937755194,-0.1408567849461927,-0.173834245745498,-0.1567131792027474,0.835,0.828,0.817,0.806,75.442,75.314,74.978,74.741,11.36533324,11.17666658,10.98799992,10.79933325
2006,Czech Republic,Germany,Group stage,1.0,3.0,1.0,3.0,4.0,0.4782608695652174,2006-06-09,2006-05-17,Czech Republic,2.0,15259.0788162004,13442.4916284309,11782.5546676117,9852.45677945801,0.3264778970750889,0.2276474182030241,0.137339413258525,0.0323334439109123,0.864,0.856,0.848,0.842,76.708,76.156,75.942,75.396,12.11999989,11.93133322,11.74266656,11.5539999
2010,Czech Republic,South Africa,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2010-06-11,2010-05-26,Czech Republic,33.0,20160.4355077059,19817.4215836554,22774.7045076205,18452.6532812196,0.5931336525519643,0.5744721588444579,0.7353615945420172,0.500222650872997,0.88,0.875,0.873,0.87,77.568,77.258,77.172,76.919,12.39000034,12.28999996,12.18999958,12.14000034
2014,Czech Republic,Brazil,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2014-06-12,2014-06-05,Czech Republic,34.0,20038.4163180257,20260.4954999375,20014.0354015165,22049.1080788682,0.5864952621521714,0.5985773642630032,0.5851688311004901,0.6958858991257679,0.898,0.892,0.885,0.883,78.744,78.169,77.998,77.814,12.64000034,12.60000038,12.52000046,12.47000027
2018,Czech Republic,Russia,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2018-06-14,2018-06-07,Czech Republic,46.0,23705.9329811299,20913.197632212,18753.9686718096,17931.5987670768,0.7860245941469192,0.6340872834828516,0.5166155576071338,0.4718749516830597,0.901,0.904,0.902,0.9,78.961,78.926,78.974,78.561,12.82999992,12.78999996,12.73999977,12.67000008
2022,Czech Republic,,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2022-11-20,2022-10-06,Czech Republic,35.0,28282.2236715857,27696.4619527544,23472.8915454417,24062.7190013343,1.034995303309989,1.0031272423841036,0.7733460963345583,0.8054353515655899,0.911,0.901,0.898,0.903,79.165,77.234,78.237,79.185,12.96318214,12.96318214,12.91650699,12.86999989
1994,Denmark,USA,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1994-06-17,1994-06-14,Denmark,9.0,29967.8303903163,27581.7241097459,29579.4913648682,27002.8057705804,1.1266998580507182,0.9968849898538517,1.1055724758319372,0.965389239430885,0.859,0.853,0.85,0.848,75.441,75.189,75.269,75.227,11.56000042,11.54000028,11.52000014,11.5
1998,Denmark,France,Quarter-finals,3.0,5.0,2.0,9.0,7.0,0.3181818181818182,1998-06-10,1998-05-20,Denmark,27.0,33346.4884298957,32779.879045297,35621.9878051732,35321.0980773087,1.31051398722917,1.2796878990621314,1.4343113444085358,1.4179415956330603,0.883,0.876,0.87,0.862,76.436,76.041,75.664,75.287,12.14499986,11.97999978,11.8149997,11.64999962
2002,Denmark,Korea/Japan,Round of 16,2.0,4.0,2.0,5.0,5.0,0.391304347826087,2002-05-31,2002-05-15,Denmark,20.0,33257.1622586509,30768.4775471112,30722.0251837567,33426.2381077405,1.3056542434528355,1.1702586491983948,1.1677314325880537,1.3148527268747867,0.902,0.902,0.896,0.894,77.099,76.974,76.815,76.578,12.80500019,12.6400001,12.47500002,12.30999994
2006,Denmark,Germany,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2006-06-09,2006-05-17,Denmark,11.0,52119.1787984282,48925.8076698784,46625.050098011,40519.0974905924,2.331832419578744,2.158098728195444,2.0329272119989774,1.7007360437334642,0.917,0.917,0.912,0.907,78.223,78.226,77.785,77.401,12.73999977,12.82999992,12.92000008,12.97000027
2010,Denmark,South Africa,Group stage,1.0,3.0,1.0,3.0,6.0,0.4347826086956521,2010-06-11,2010-05-26,Denmark,36.0,58104.5445594981,58412.7472358513,64616.6657583663,58631.6566433635,2.657463123336662,2.674230729262056,3.0117516820638164,2.686140381449241,0.92,0.915,0.922,0.918,79.247,78.957,78.714,78.349,12.43000031,12.47000027,12.88000011,12.64999962
2014,Denmark,Brazil,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2014-06-12,2014-06-05,Denmark,23.0,62520.4509747011,61377.5940590412,58443.7747103968,61809.737898222,2.8977082096210167,2.835531674953499,2.6759187628385166,2.8590422352257483,0.939,0.941,0.938,0.934,80.632,80.306,80.082,79.786,12.39000034,12.75,12.69999981,12.47000027
2018,Denmark,Russia,Round of 16,2.0,4.0,1.0,3.0,2.0,0.5652173913043478,2018-06-14,2018-06-07,Denmark,12.0,61324.7665045565,57521.5514992225,54500.9260410217,53094.0133607574,2.8326576193934274,2.6257456898360583,2.461410136587064,2.3848677857118337,0.95,0.951,0.951,0.943,80.991,81.112,80.881,80.739,12.85999966,13.00999975,13.15999985,12.64000034
2022,Denmark,Qatar,Group stage,1.0,3.0,0.0,1.0,3.0,0.7307692307692307,2022-11-20,2022-10-06,Denmark,10.0,68091.3191138669,69727.9873677012,60985.4885601514,59404.2663247723,3.200788386357761,3.2898304694298965,2.8141993797107747,2.7281738083658875,0.959,0.958,0.954,0.953,81.291,81.436,81.546,81.434,13.0273206,13.0273206,12.96000004,12.90999985
1994,Ecuador,USA,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1994-06-17,1994-06-14,Ecuador,39.0,1996.85894789444,1697.88884141445,1655.44613192632,1587.36049996672,-0.3950462605958957,-0.4113115733707421,-0.4136206468529184,-0.4173248101632061,0.667,0.66,0.654,0.649,70.876,70.07,69.468,69.04,6.978235245,6.921176434,6.864117622,6.807058811
1998,Ecuador,France,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1998-06-10,1998-05-20,Ecuador,26.0,2284.01572847769,2340.76600026857,2135.8479374308,2108.00698245316,-0.3794236456575786,-0.3763361767075752,-0.3874846370821412,-0.3889993097228055,0.684,0.682,0.677,0.672,71.949,72.007,71.82,71.349,7.20647049,7.149411678,7.092352867,7.035294056
2002,Ecuador,Korea/Japan,Group stage,1.0,3.0,1.0,2.0,4.0,0.0434782608695652,2002-05-31,2002-05-15,Ecuador,36.0,2059.1585535974,1791.30359685037,1382.23421759909,1575.30234730971,-0.3916568830275531,-0.406229392303075,-0.4284845986127389,-0.4179808276719875,0.698,0.691,0.683,0.682,73.164,72.571,72.09,71.92,7.434705734,7.377646923,7.320588112,7.263529301
2006,Ecuador,Germany,Round of 16,2.0,4.0,2.0,5.0,4.0,0.0434782608695652,2006-06-09,2006-05-17,Ecuador,39.0,3243.67010359339,2909.02606014388,2586.20914663347,2315.62215223014,-0.3272141496956424,-0.3454202844126927,-0.3629829702914858,-0.3777041146513496,0.718,0.714,0.709,0.703,74.01,73.909,73.868,73.632,7.662940979,7.605882168,7.548823357,7.491764545
2010,Ecuador,South Africa,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2010-06-11,2010-05-26,Ecuador,44.0,4520.30959039763,4053.36331139298,4194.75750661981,3478.92488770671,-0.2577592439926195,-0.2831632128592181,-0.2754707353838287,-0.3144152358161431,0.737,0.731,0.729,0.722,75.188,74.901,74.709,74.226,7.849999905,7.739999771,7.730000019,7.71999979
2014,Ecuador,Brazil,Group stage,1.0,3.0,1.0,3.0,3.0,0.0869565217391304,2014-06-12,2014-06-05,Ecuador,26.0,6405.79979300441,6109.29031510341,5634.08393191094,5153.6916424375,-0.1551801325209496,-0.171311576080806,-0.197164931609334,-0.2233004236654036,0.76,0.755,0.75,0.743,76.141,75.832,75.486,75.179,8.359999657,8.289999962,8.100000381,7.909999847
2018,Ecuador,Russia,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2018-06-14,2018-06-07,Ecuador,60.0,6303.91886658338,6233.32244797718,5917.63771271481,5976.1596805651,-0.1607229112072197,-0.1645636725560159,-0.1817383359955886,-0.1785544788451475,0.767,0.764,0.761,0.764,77.248,76.22,76.094,76.222,8.78666687,8.770000458,8.68999958,8.699999809
2022,Ecuador,Qatar,Group stage,1.0,3.0,1.0,4.0,3.0,0.0769230769230769,2022-11-20,2022-10-06,Ecuador,44.0,6515.58528418336,6061.32350181711,5463.64515348598,6205.05765246766,-0.1492073101100733,-0.1739211855501278,-0.2064375644912113,-0.1661014040198477,0.773,0.753,0.74,0.765,76.577,72.746,72.004,77.286,8.970000267,9.109999657,8.819999695,8.803333282
1994,Egypt,USA,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1994-06-17,1994-06-14,Egypt,25.0,807.303537230487,740.334217356418,680.79923864551,622.829605007867,-0.4597634025378279,-0.463406833471092,-0.4666458029492715,-0.4697996106448333,0.601,0.593,0.586,0.578,64.663,64.147,63.585,63.059,5.955336444,5.792176541,5.629016639,5.465856736
1998,Egypt,France,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1998-06-10,1998-05-20,Egypt,17.0,1212.82259820477,1146.20172117634,1008.97637629447,916.326617700876,-0.437701349443064,-0.441325823524972,-0.4487914968707759,-0.4538320586840677,0.629,0.623,0.617,0.609,66.635,66.207,65.733,65.214,6.347999954,6.338999939,6.329999924,6.118496346
2002,Egypt,Korea/Japan,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2002-05-31,2002-05-15,Egypt,43.0,1116.82884626213,1295.1374184163,1366.09274372613,1268.30949160496,-0.4429238394711183,-0.4332230545643237,-0.4293627670834327,-0.4346826139357432,0.643,0.642,0.639,0.634,67.846,67.612,67.332,67.01,6.384000015,6.375,6.365999985,6.356999969
2006,Egypt,Germany,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2006-06-09,2006-05-17,Egypt,17.0,1298.97900203124,1105.53920713903,991.255689145253,1031.27556291284,-0.4330140552105642,-0.4435380464017522,-0.4497555816164409,-0.4475783212484942,0.651,0.648,0.645,0.643,68.493,68.355,68.211,68.045,6.420000076,6.411000061,6.402000046,6.393000031
2010,Egypt,South Africa,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2010-06-11,2010-05-26,Egypt,12.0,2455.08194645282,2161.63964573927,1896.21594269779,1547.74170735909,-0.3701168772540902,-0.3860814526381375,-0.400521690823344,-0.4194802499197492,0.677,0.671,0.665,0.658,69.078,68.915,68.761,68.627,7.376363754,7.137272835,6.898181915,6.659090996
2014,Egypt,Brazil,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2014-06-12,2014-06-05,Egypt,36.0,3133.39102265541,3025.52563552448,2996.0677072015,2590.64384891965,-0.3332138256000255,-0.3390821857512164,-0.3406848289837241,-0.3627417026256402,0.699,0.695,0.689,0.68,69.911,69.632,69.464,69.232,8.332727432,8.093636513,7.854545593,7.615454674
2018,Egypt,Russia,Group stage,1.0,3.0,0.0,2.0,6.0,0.217391304347826,2018-06-14,2018-06-07,Egypt,45.0,2484.70315630508,2395.10333299491,3270.6287768197,3306.98159414141,-0.3685053507751088,-0.3733799824493911,-0.3257474771336812,-0.323769721059851,0.728,0.72,0.713,0.706,70.974,70.709,70.437,70.135,9.310100585,9.050000191,8.810909271,8.571818352
2022,Egypt,,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2022-11-20,2022-10-06,Egypt,39.0,4233.30783744856,3827.35415374308,3511.11381026379,2962.98892023003,-0.2733734247333226,-0.2954591232511865,-0.3126640142661341,-0.3424844631432668,0.751,0.738,0.736,0.736,71.01,68.976,69.79,71.213,10.13611962,10.13611962,9.852942366,9.577676361
1994,England,USA,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1994-06-17,1994-06-14,England,15.0,19709.2380983653,18389.0195675099,20487.1707852878,19900.7266505069,0.5685864927287579,0.4967606918540856,0.6109095149852258,0.5790043275753802,0.836,0.827,0.824,0.816,76.72,76.16,76.307,75.911,9.992764169,9.903775609,9.814787049,9.725798488
1998,England,France,Round of 16,2.0,4.0,2.0,7.0,4.0,0.9545454545454546,1998-06-10,1998-05-20,England,5.0,28274.5045119699,26766.0056249684,24406.400298359,23168.9529580171,1.0345753464554786,0.9525062509647246,0.8241331533518224,0.7568104759442401,0.856,0.849,0.841,0.835,77.275,77.139,76.872,76.614,10.45290014,10.32918434,10.20546853,10.08175273
2002,England,Korea/Japan,Quarter-finals,3.0,5.0,2.0,6.0,3.0,1.0,2002-05-31,2002-05-15,England,12.0,30077.741432188,27906.5695029641,28280.926786099,28762.0913570256,1.1326795109815777,1.014558034113598,1.0349247469312168,1.0611022545571165,0.881,0.876,0.87,0.862,78.237,78.121,77.849,77.373,11.20821767,10.95427471,10.70033174,10.57661594
2006,England,Germany,Quarter-finals,3.0,5.0,3.0,6.0,2.0,1.0,2006-06-09,2006-05-17,England,10.0,44512.4590296865,42104.7884375024,40366.8886650968,34442.6875402308,1.917992796327072,1.7870047329994254,1.6924552019365149,1.3701521283230598,0.902,0.903,0.897,0.886,79.347,79.106,78.9,78.33,12.25003496,11.97004657,11.7161036,11.46216064
2010,England,South Africa,Round of 16,2.0,4.0,1.0,3.0,5.0,1.0,2010-06-11,2010-05-26,England,8.0,39598.957119545,38744.131693043,47396.1202078484,50397.6854954706,1.6506762865622202,1.6041699548969934,2.074876879326938,2.238175473932632,0.921,0.915,0.91,0.905,80.391,80.156,79.655,79.534,13.21000004,13.09000015,12.81001176,12.53002336
2014,England,Brazil,Group stage,1.0,3.0,0.0,2.0,4.0,0.9565217391304348,2014-06-12,2014-06-05,England,10.0,47426.6209829995,43419.0352598932,42490.1465463521,42109.6418795749,2.0765362580974407,1.8585056461884344,1.8079699400047728,1.7872687819850357,0.932,0.931,0.917,0.916,81.153,80.923,80.859,80.796,12.89000034,12.82999992,13.34000015,13.18999958
2018,England,Russia,Fourth place,4.0,7.0,4.0,12.0,8.0,1.0,2018-06-14,2018-06-07,England,12.0,43315.4874501318,40629.2340347345,40988.1044233026,44983.885522934,1.852872181583061,1.7067279649977791,1.7262521213905904,1.9436405089137911,0.936,0.937,0.934,0.931,81.123,81.164,81.067,80.919,13.24333318,13.15999985,13.07000001,12.98000018
2022,England,Qatar,Quarter-finals,3.0,5.0,3.0,13.0,4.0,1.0,2022-11-20,2022-10-06,England,5.0,46062.9914079698,46926.475736105,40404.8062238951,42794.0022648288,2.0023487019968327,2.049326116691092,1.6945180869546002,1.824501051953184,0.946,0.941,0.93,0.941,81.074,80.708,80.385,81.443,13.48999977,13.48999977,13.40999985,13.32666651
1994,France,USA,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1994-06-17,1994-06-14,France,13.0,23359.8985104774,22238.8250618434,23615.0168565483,21500.7778366233,0.7671987691762944,0.7062073526755005,0.781078349788219,0.6660542781686486,0.832,0.818,0.814,0.807,77.768,77.349,77.297,77.016,8.318571499,8.126428672,7.934285845,7.742143018
1998,France,France,Winner,7.0,7.0,7.0,15.0,2.0,1.0,1998-06-10,1998-05-20,France,18.0,24869.4030795939,24169.4008102822,26757.6351494145,26791.8151982369,0.849322578278202,0.8112393197627922,0.952050859606166,0.9539104073425652,0.851,0.847,0.842,0.837,78.588,78.425,78.061,77.871,9.087142808,8.894999981,8.702857154,8.510714327
2002,France,Korea/Japan,Group stage,1.0,3.0,0.0,0.0,3.0,1.0,2002-05-31,2002-05-15,France,1.0,24144.5727019529,22331.7948343036,22340.5939516217,24576.3152254528,0.8098885594732819,0.7112653246763657,0.7117440360666332,0.833377286375138,0.858,0.855,0.852,0.856,79.411,79.221,79.044,78.746,9.855714117,9.66357129,9.471428462,9.279285635
2006,France,Germany,Runners-up,6.0,7.0,4.0,9.0,3.0,1.0,2006-06-09,2006-05-17,France,8.0,36431.5658906555,34696.3718316971,33644.9282220364,29479.5222101175,1.478356018075307,1.383953689941866,1.326750448528867,1.1001337060866885,0.881,0.877,0.869,0.862,80.745,80.337,80.336,79.419,10.44499969,10.31999969,10.23999977,10.04785694
2010,France,South Africa,Group stage,1.0,3.0,0.0,1.0,4.0,0.9565217391304348,2010-06-11,2010-05-26,France,9.0,40694.8211697025,41728.0884164132,45464.8181385158,41486.1907828787,1.7102961988818317,1.7665105647447903,1.969805397130087,1.7533502501057845,0.888,0.883,0.884,0.884,81.405,81.163,81.039,80.96,10.77999973,10.63000011,10.64999962,10.56999969
2014,France,Brazil,Quarter-finals,3.0,5.0,3.0,10.0,3.0,0.9565217391304348,2014-06-12,2014-06-05,France,17.0,43148.0459288416,42669.1795111893,40863.5814412333,43929.7840873812,1.84376261291298,1.817710135117825,1.719477513471222,1.8862926698687916,0.9,0.896,0.893,0.892,82.437,81.979,81.739,81.781,11.22999954,11.07999992,10.93999958,10.85000038
2018,France,Russia,Winner,7.0,7.0,6.0,14.0,6.0,1.0,2018-06-14,2018-06-07,France,7.0,41418.1766484844,38687.1626407164,37024.2157133669,36702.4323733379,1.7496499765832612,1.6010705833060055,1.5105988227016731,1.493092367849282,0.911,0.908,0.905,0.901,82.568,82.439,82.401,82.149,11.50999975,11.40999985,11.35000038,11.32999992
2022,France,Qatar,Runners-up,6.0,7.0,5.0,16.0,8.0,1.0,2022-11-20,2022-10-06,France,4.0,41082.8119320747,43725.0999521245,39169.8606000707,40408.2848574751,1.731404634029535,1.8751569362023155,1.6273315141298814,1.6947073402009327,0.916,0.915,0.909,0.914,82.475,82.322,82.199,82.73,11.7656677,11.7656677,11.68757451,11.60999966
1994,Germany,USA,Quarter-finals,3.0,5.0,3.0,9.0,7.0,0.9545454545454546,1994-06-17,1994-06-14,Germany,1.0,27201.9593555204,25616.6508772405,26559.8543879632,23443.3350818536,0.976224086390736,0.8899762051311951,0.9412907003924958,0.771738092342323,0.865,0.859,0.849,0.841,76.38,76.08,76.004,75.56,11.20496676,10.99462252,10.78427828,10.57393404
1998,Germany,France,Quarter-finals,3.0,5.0,3.0,8.0,6.0,0.9090909090909092,1998-06-10,1998-05-20,Germany,2.0,27395.9440608051,27046.9565464237,30599.7891048363,31747.2449398447,0.986777723147738,0.9677912393726132,1.161081242442223,1.2235079789192471,0.887,0.881,0.875,0.87,77.576,77.218,76.783,76.552,12.0179827,11.81709213,11.61620156,11.415311
2002,Germany,Korea/Japan,Runners-up,6.0,7.0,5.0,14.0,3.0,0.782608695652174,2002-05-31,2002-05-15,Germany,11.0,25486.5942008748,23878.3641471651,23925.8559901991,26965.4922773722,0.882900539458625,0.7954056218379995,0.7979893907983708,0.9633592182862988,0.909,0.904,0.897,0.892,78.475,78.402,78.056,77.798,13.10988201,12.76482292,12.41976383,12.21887326
2006,Germany,Germany,Third place,5.0,7.0,6.0,14.0,6.0,0.8695652173913043,2006-06-09,2006-05-17,Germany,19.0,36980.3349948954,35084.4363546269,34566.7359143735,30711.1022511331,1.508211515090463,1.405066137994251,1.3769009154456189,1.1671371761333424,0.927,0.923,0.923,0.914,79.586,79.254,79.119,78.536,13.60000038,13.69999981,13.80000019,13.4549411
2010,Germany,South Africa,Third place,5.0,7.0,5.0,16.0,5.0,0.9130434782608696,2010-06-11,2010-05-26,Germany,6.0,42409.9356994694,42487.2137101496,46386.3295924799,42350.9217211489,1.80360611069808,1.807810380580211,2.0199397473525997,1.8003954859745168,0.936,0.933,0.933,0.931,80.081,79.915,79.816,79.731,13.85000038,13.82999992,13.76000023,13.68000031
2014,Germany,Brazil,Winner,7.0,7.0,6.0,18.0,4.0,1.0,2014-06-12,2014-06-05,Germany,2.0,48971.0824722599,47220.0102098851,44735.5882319701,47646.582043143,2.1605618802149715,2.06529570670277,1.9301320242488027,2.088503124897752,0.949,0.945,0.944,0.942,80.906,80.454,80.502,80.355,14.03999996,14.01000023,13.97999954,13.93000031
2018,Germany,Russia,Group stage,1.0,3.0,1.0,2.0,4.0,1.0,2018-06-14,2018-06-07,Germany,1.0,48874.8595028454,45526.5999576533,42961.0356905775,41911.0109851054,2.1553269197298635,1.973166604790284,1.8335884183980915,1.7764623717277273,0.952,0.951,0.949,0.948,80.875,80.937,80.837,80.566,14.07999992,14.10500002,14.13000011,14.07999992
2022,Germany,Qatar,Group stage,1.0,3.0,1.0,6.0,5.0,0.9615384615384616,2022-11-20,2022-10-06,Germany,11.0,49686.1154582583,52265.6541620571,47379.765194548,47623.8656074829,2.1994628770354505,2.339801335371979,2.0739870933550235,2.087267249058888,0.955,0.958,0.955,0.957,80.58,81.106,81.004,81.189,14.29637163,14.29637163,14.26000023,14.17000008
1994,Ghana,USA,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1994-06-17,1994-06-14,Ghana,26.0,320.50390343252,359.800844097528,396.426407640517,418.254121349986,-0.4862474828214017,-0.4841095532519993,-0.4821169585621967,-0.4809294331777213,0.453,0.45,0.444,0.438,56.234,56.286,56.055,55.722,4.694314516,4.56652011,4.438725704,4.310931298
1998,Ghana,France,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1998-06-10,1998-05-20,Ghana,65.0,400.366799508524,377.841935501461,389.271267898831,371.537243033836,-0.4819025835969429,-0.4831280370798993,-0.4825062302095079,-0.4834710405866463,0.475,0.469,0.465,0.459,57.525,57.241,56.957,56.662,5.062362406,4.982277911,4.902193417,4.822108922
2002,Ghana,Korea/Japan,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2002-05-31,2002-05-15,Ghana,52.0,297.46164468774,263.542156494853,253.746936203344,403.037326127273,-0.4875010848953195,-0.4893464569665134,-0.4898793608197305,-0.4817572949885301,0.493,0.486,0.487,0.48,58.709,58.403,58.139,57.835,5.317951218,5.270241306,5.222531394,5.1424469
2006,Ghana,Germany,Round of 16,2.0,4.0,2.0,4.0,6.0,0.3043478260869565,2006-06-09,2006-05-17,Ghana,48.0,906.441027564887,478.611909191028,406.132105329565,358.39927142073,-0.4543698790615594,-0.4776456991977889,-0.4815889251394939,-0.4841858050827699,0.524,0.515,0.503,0.495,59.975,59.638,59.316,59.014,5.520718342,5.461080952,5.413371041,5.365661129
2010,Ghana,South Africa,Quarter-finals,3.0,5.0,2.0,5.0,4.0,0.4347826086956521,2010-06-11,2010-05-26,Ghana,32.0,1263.89251760539,1047.70430093586,1182.65761256016,1050.12461524926,-0.4349229171033984,-0.4466845243214817,-0.4393424597605304,-0.4465528483830931,0.558,0.551,0.546,0.534,61.297,60.928,60.578,60.282,5.7592679,5.69963051,5.639993121,5.580355731
2014,Ghana,Brazil,Group stage,1.0,3.0,0.0,4.0,6.0,0.4782608695652174,2014-06-12,2014-06-05,Ghana,37.0,1949.90832923846,2294.79584693743,1543.77524235764,1507.43573198753,-0.3976005845261484,-0.378837158932996,-0.4196960433802347,-0.4216730754963008,0.58,0.582,0.575,0.568,62.832,62.397,61.995,61.617,5.88195053,5.851279872,5.820609215,5.789938557
2018,Ghana,Russia,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2018-06-14,2018-06-07,Ghana,47.0,2195.32166016377,2012.28662641265,1912.47991339951,1722.77282833606,-0.3842490002035056,-0.3942069257893394,-0.3996368579765453,-0.4099577730355495,0.6,0.594,0.59,0.588,64.138,63.829,63.522,63.175,6.317842102,6.120500088,6.016560637,5.912621187
2022,Ghana,Qatar,Group stage,1.0,3.0,1.0,5.0,7.0,0.4230769230769231,2022-11-20,2022-10-06,Ghana,61.0,2229.89122647803,2445.18662529344,2195.45481659987,2186.65822682613,-0.382368260971037,-0.3706552270428362,-0.3842417558970208,-0.3847203297775551,0.625,0.618,0.614,0.609,65.246,64.286,64.309,64.455,7.107210159,6.909868145,6.712526131,6.515184116
1994,Greece,USA,Group stage,1.0,3.0,0.0,0.0,10.0,0.0,1994-06-17,1994-06-14,Greece,31.0,10937.0223808611,10257.3085789073,11021.012224607,10046.6663875475,0.0913386700164908,0.0543591949902859,0.0959080936773443,0.0428993163877558,0.79,0.784,0.782,0.78,77.858,77.691,77.306,77.386,8.327857188,8.198571478,8.069285767,7.940000057
1998,Greece,France,Did not qualify,0.0,0.0,0.0,0.0,0.0,,1998-06-10,1998-05-20,Greece,55.0,13022.9648774809,13015.9175046854,13432.5262183244,12779.081491606,0.2048232840380467,0.2044398753952584,0.2271052552616509,0.191554935578234,0.813,0.803,0.796,0.792,78.303,78.399,78.036,77.893,8.845000029,8.715714318,8.586428608,8.457142898
2002,Greece,Korea/Japan,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2002-05-31,2002-05-15,Greece,53.0,13782.195640943,12156.9572824221,11638.2010697215,12742.5404388143,0.2461288378989076,0.1577085923223158,0.1294859310241209,0.1895669386517956,0.836,0.837,0.828,0.816,79.031,78.909,78.442,78.423,9.362142869,9.232857159,9.103571449,8.974285739
2006,Greece,Germany,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2006-06-09,2006-05-17,Greece,20.0,24416.0232970275,22054.1315756886,21449.2552764245,18020.612039764,0.8246566875774274,0.6961591998512794,0.6632512201423426,0.4767176723764977,0.871,0.863,0.851,0.842,79.76,79.65,79.35,79.085,10.10000038,9.75,9.62071429,9.49142858
2010,Greece,South Africa,Group stage,1.0,3.0,1.0,2.0,5.0,0.2608695652173913,2010-06-11,2010-05-26,Greece,13.0,26653.0488008626,29425.4573200263,31695.8331092209,28440.7625328955,0.9463608938393392,1.0971923339280312,1.2207109450777405,1.0436205274052432,0.876,0.874,0.871,0.866,80.573,80.368,80.105,79.662,10.21000004,10.15500021,10.10000038,10.06000042
2014,Greece,Brazil,Round of 16,2.0,4.0,1.0,3.0,5.0,0.4782608695652174,2014-06-12,2014-06-05,Greece,12.0,21474.7257123892,21573.3449762805,21624.346052551,25504.7866510124,0.664636925931979,0.6700022555687882,0.6727769425338512,0.8838902902237192,0.886,0.879,0.874,0.874,81.12,81.067,80.422,80.625,10.60000038,10.5025003,10.40500021,10.30750012
2018,Greece,Russia,Did not qualify,0.0,0.0,0.0,0.0,0.0,,2018-06-14,2018-06-07,Greece,44.0,19873.4015238771,18631.9930129293,17919.2426377048,17980.7298238137,0.5775177183070529,0.5099795354778147,0.4712027229064495,0.4745479012103326,0.893,0.887,0.884,0.888,81.495,80.961,81.269,80.789,10.82999992,10.53999996,10.25,10.73999977
