iso3,country,hdicode,region,hdi_rank_2023,year,hdi,norm_hdi
ECU,Ecuador,High,LAC,88.0,1991,0.649,-0.15218192038916525
EGY,Egypt,High,AS,100.0,1991,0.578,-0.5807193480338187
FRA,France,Very High,Developed,26.0,1991,0.807,0.8014647495806263
DEU,Germany,Very High,Developed,5.0,1991,0.841,1.006679855776657
GHA,Ghana,Medium,SSA,143.0,1991,0.438,-1.425722726488064
GRC,Greece,Very High,Developed,34.0,1991,0.78,0.6384998123073075
HND,Honduras,Medium,LAC,139.0,1991,0.519,-0.9368279146681076
ISL,Iceland,Very High,Developed,1.0,1991,0.853,1.0791087167870208
IRN,Iran,High,SA,75.0,1991,0.645,-0.17632487405928657
IRL,Republic of Ireland,Very High,Developed,11.0,1991,0.78,0.6384998123073075
ITA,Italy,Very High,Developed,29.0,1991,0.792,0.7109286733176714
JAM,Jamaica,High,LAC,117.0,1991,0.662,-0.07371732096127094
JPN,Japan,Very High,Developed,23.0,1991,0.857,1.1032516704571422
PRK,North Korea,Other Countries or Territories,EAP,,1991,0.5787599999999999,-0.5761321868364958
KOR,South Korea,Very High,Developed,20.0,1991,0.749,0.4513919213638672
MEX,Mexico,High,LAC,81.0,1991,0.67,-0.025431413621028295
MAR,Morocco,High,AS,120.0,1991,0.457,-1.3110436965549876
NLD,Netherlands,Very High,Developed,8.0,1991,0.86,1.1213588857097332
NZL,New Zealand,Very High,Developed,17.0,1991,0.813,0.8376791800858077
NGA,Nigeria,Medium,SSA,164.0,1991,0.383,-1.7576883394522318
NOR,Norway,Very High,Developed,2.0,1991,0.863,1.1394661009623241
PAN,Panama,Very High,LAC,59.0,1991,0.674,-0.0012884599509069726
PRY,Paraguay,High,LAC,99.0,1991,0.613,-0.36946850342025717
PER,Peru,High,LAC,79.0,1991,0.628,-0.2789324271573022
POL,Poland,Very High,Developed,35.0,1991,0.72,0.2763555072554876
PRT,Portugal,Very High,Developed,40.0,1991,0.718,0.2642840304204269
QAT,Qatar,Very High,AS,43.0,1991,0.768,0.5660709512969434
ROU,Romania,Very High,Developed,55.0,1991,0.705,0.18581943099253262
RUS,Russia,Very High,Developed,64.0,1991,0.758,0.5057135671216402
SAU,Saudi Arabia,Very High,AS,37.0,1991,0.681,0.040961708971805344
SEN,Senegal,Low,SSA,169.0,1991,0.379,-1.7818312931223532
SRB,Serbia,Very High,ECA,62.0,1991,0.686,0.071140401059457
SVK,Slovakia,Very High,Developed,44.0,1991,0.697,0.13753352365228996
SVN,Slovenia,Very High,Developed,21.0,1991,0.736,0.3729273219359729
ZAF,South Africa,High,SSA,106.0,1991,0.641,-0.20046782772940788
ESP,Spain,Very High,Developed,28.0,1991,0.774,0.6022853818021254
SWE,Sweden,Very High,Developed,5.0,1991,0.821,0.8859650874260503
CHE,Switzerland,Very High,Developed,2.0,1991,0.86,1.1213588857097332
TGO,Togo,Medium,SSA,161.0,1991,0.415,-1.5645447100912617
TTO,Trinidad and Tobago,Very High,LAC,72.0,1991,0.665,-0.05561010570867995
TUN,Tunisia,High,AS,105.0,1991,0.575,-0.5988265632864097
TUR,Turkey,Very High,ECA,51.0,1991,0.602,-0.4358616260130908
UKR,Ukraine,High,ECA,87.0,1991,0.743,0.41517749085868516
USA,United States,Very High,Developed,17.0,1991,0.878,1.2300021772252792
