iso3,country,hdicode,region,hdi_rank_2023,year,mean_school_years,norm_mean_school_years
ISL,Iceland,Very High,Developed,1.0,1995,11.09134486,1.004763690224642
IRN,Iran,High,SA,75.0,1995,7.152962166,-0.1854482284314762
IRL,Republic of Ireland,Very High,Developed,11.0,1995,9.830000305,0.6235749029642954
ITA,Italy,Very High,Developed,29.0,1995,8.091089706,0.09806169583987609
JAM,Jamaica,High,LAC,117.0,1995,7.103999901,-0.20024503105204944
JPN,Japan,Very High,Developed,23.0,1995,11.86250019,1.2378132276145686
PRK,North Korea,Other Countries or Territories,EAP,,1995,6.703395017279999,-0.3213111498936211
KOR,South Korea,Very High,Developed,20.0,1995,10.0,0.6749502209254362
MEX,Mexico,High,LAC,81.0,1995,6.304999828,-0.4417094807462083
MAR,Morocco,High,AS,120.0,1995,2.66,-1.5432586637127077
NLD,Netherlands,Very High,Developed,8.0,1995,11.41418029,1.1023272350614233
NZL,New Zealand,Very High,Developed,17.0,1995,11.46799965,1.1185918920801616
NGA,Nigeria,Medium,SSA,164.0,1995,3.632978565,-1.2492164706002455
NOR,Norway,Very High,Developed,2.0,1995,11.89571415,1.2478507618333718
PAN,Panama,Very High,LAC,59.0,1995,7.644999981,-0.036750319329168446
PRY,Paraguay,High,LAC,99.0,1995,6.266363534,-0.4533856892775831
PER,Peru,High,LAC,79.0,1995,8.068181731,0.09113871577528887
POL,Poland,Very High,Developed,35.0,1995,10.60624747,0.8581632351275338
PRT,Portugal,Very High,Developed,40.0,1995,6.137142794,-0.4924372687799694
QAT,Qatar,Very High,AS,43.0,1995,7.079552144,-0.20763334600938924
ROU,Romania,Very High,Developed,55.0,1995,8.986999798,0.36881315713570384
RUS,Russia,Very High,Developed,64.0,1995,10.59601521,0.8550709612798596
SAU,Saudi Arabia,Very High,AS,37.0,1995,6.077334407,-0.5105118594365464
SEN,Senegal,Low,SSA,169.0,1995,1.870518822,-1.7818464243794907
SRB,Serbia,Very High,ECA,62.0,1995,6.980551381,-0.23755219779039138
SVK,Slovakia,Very High,Developed,44.0,1995,8.4,0.19141694906971013
SVN,Slovenia,Very High,Developed,21.0,1995,8.839230904,0.324156171639253
ZAF,South Africa,High,SSA,106.0,1995,8.485518254,0.21726127479471583
ESP,Spain,Very High,Developed,28.0,1995,6.860769455,-0.27375128940786664
SWE,Sweden,Very High,Developed,5.0,1995,10.52999973,0.835120535631406
CHE,Switzerland,Very High,Developed,2.0,1995,10.48261016,0.820799014485196
TGO,Togo,Medium,SSA,161.0,1995,2.735545173,-1.5204282857917095
TTO,Trinidad and Tobago,Very High,LAC,72.0,1995,8.097222275,0.09991500906078297
TUN,Tunisia,High,AS,105.0,1995,4.170982677,-1.086627165258249
TUR,Turkey,Very High,ECA,51.0,1995,4.732471565,-0.9169405658049532
UKR,Ukraine,High,ECA,87.0,1995,10.19279842,0.7332155026949455
USA,United States,Very High,Developed,17.0,1995,13.13500004,1.6223732375560815
URY,Uruguay,Very High,LAC,48.0,1995,7.345566693,-0.127241542734892
DZA,Algeria,High,AS,96.0,1996,4.98791892,-0.8397422562111773
AGO,Angola,Medium,SSA,148.0,1996,3.387140553,-1.3235107570307876
ARG,Argentina,Very High,LAC,47.0,1996,8.529999733,0.23070394671837316
AUS,Australia,Very High,Developed,7.0,1996,11.32558365,1.0755525955522838
AUT,Austria,Very High,Developed,22.0,1996,10.74357155,0.8996637111943949
BEL,Belgium,Very High,Developed,10.0,1996,10.19427627,0.7336621212235777
BOL,Bolivia,High,LAC,108.0,1996,6.654444483,-0.3361044073933048
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1996,6.612996281,-0.34863039784680294
BRA,Brazil,High,LAC,84.0,1996,4.586247727,-0.9611306225621042
BGR,Bulgaria,Very High,Developed,55.0,1996,8.556666586,0.23876289089411423
CMR,Cameroon,Medium,SSA,155.0,1996,2.641214268,-1.5489358677490608
CAN,Canada,Very High,Developed,16.0,1996,11.78999996,1.2159030567256979
CHL,Chile,Very High,LAC,45.0,1996,8.855248802,0.32899691328187236
CHN,China,High,EAP,78.0,1996,5.327999878,-0.7369669697626963
COL,Colombia,High,LAC,83.0,1996,6.655454592,-0.33579914407474176
CRI,Costa Rica,Very High,LAC,62.0,1996,7.323081413,-0.13403678086426227
HRV,Croatia,Very High,Developed,41.0,1996,8.395000219,0.18990597377877744
CZE,Czech Republic,Very High,Developed,29.0,1996,10.23333327,0.7454654705978707
CIV,Ivory Coast,Medium,SSA,157.0,1996,2.560280666,-1.5733946736103916
DNK,Denmark,Very High,Developed,4.0,1996,11.8149997,1.223458185524287
ECU,Ecuador,High,LAC,88.0,1996,7.092352867,-0.20376486133794627
EGY,Egypt,High,AS,100.0,1996,6.329999924,-0.43415424436146616
FRA,France,Very High,Developed,26.0,1996,8.702857154,0.2829428931812935
DEU,Germany,Very High,Developed,5.0,1996,11.61620156,1.1633797386036417
GHA,Ghana,Medium,SSA,143.0,1996,4.902193417,-0.8656492143030947
GRC,Greece,Very High,Developed,34.0,1996,8.586428608,0.247757220815803
HND,Honduras,Medium,LAC,139.0,1996,4.329213727,-1.0388084294359572
ISL,Iceland,Very High,Developed,1.0,1996,11.22051618,1.0438003345930942
IRN,Iran,High,SA,75.0,1996,7.414058883,-0.10654263478035206
IRL,Republic of Ireland,Very High,Developed,11.0,1996,9.970000267,0.665884052767756
ITA,Italy,Very High,Developed,29.0,1996,8.223730521,0.13814685037647623
JAM,Jamaica,High,LAC,117.0,1996,7.187499881,-0.1750106444712446
JPN,Japan,Very High,Developed,23.0,1996,11.90700016,1.2512614876718073
PRK,North Korea,Other Countries or Territories,EAP,,1996,6.76792322768,-0.3018101894550542
KOR,South Korea,Very High,Developed,20.0,1996,10.12399998,0.7124240434500894
MEX,Mexico,High,LAC,81.0,1996,6.375999832,-0.42025269059877723
MAR,Morocco,High,AS,120.0,1996,2.78,-1.506993668323528
NLD,Netherlands,Very High,Developed,8.0,1996,11.48934423,1.1250424012075284
NZL,New Zealand,Very High,Developed,17.0,1996,11.73499966,1.199281509843169
NGA,Nigeria,Medium,SSA,164.0,1996,3.809187201,-1.195964759166299
NOR,Norway,Very High,Developed,2.0,1996,11.93285697,1.2590756301337143
PAN,Panama,Very High,LAC,59.0,1996,7.692000008,-0.022546521308782475
PRY,Paraguay,High,LAC,99.0,1996,6.371818109,-0.42151644197639226
PER,Peru,High,LAC,79.0,1996,8.127272693,0.10899649464589062
POL,Poland,Very High,Developed,35.0,1996,10.7335656,0.896639830105942
PRT,Portugal,Very High,Developed,40.0,1996,6.311428479,-0.43976668908892785
QAT,Qatar,Very High,AS,43.0,1996,7.193969149,-0.17305557801964988
ROU,Romania,Very High,Developed,55.0,1996,9.08599987,0.39873180009077436
RUS,Russia,Very High,Developed,64.0,1996,10.88854324,0.9434753584394913
SAU,Saudi Arabia,Very High,AS,37.0,1996,6.195867541,-0.4746901631200882
SEN,Senegal,Low,SSA,169.0,1996,1.839646181,-1.791176392575464
SRB,Serbia,Very High,ECA,62.0,1996,7.072463295,-0.20977565497855236
SVK,Slovakia,Very High,Developed,44.0,1996,8.710000038,0.28510153197567234
SVN,Slovenia,Very High,Developed,21.0,1996,9.171538573,0.4245823056732024
ZAF,South Africa,High,SSA,106.0,1996,8.281122559,0.15549120032185623
ESP,Spain,Very High,Developed,28.0,1996,7.058461776,-0.21400703016169015
SWE,Sweden,Very High,Developed,5.0,1996,10.71333313,0.8905254098454277
CHE,Switzerland,Very High,Developed,2.0,1996,10.5136238,0.8301715937485431
TGO,Togo,Medium,SSA,161.0,1996,2.805289951,-1.4993508353534652
TTO,Trinidad and Tobago,Very High,LAC,72.0,1996,8.26666673,0.15112252888825842
TUN,Tunisia,High,AS,105.0,1996,4.326510844,-1.0396252630987277
TUR,Turkey,Very High,ECA,51.0,1996,4.876118311,-0.8735293276269479
UKR,Ukraine,High,ECA,87.0,1996,10.32274645,0.7724868752681366
USA,United States,Very High,Developed,17.0,1996,13.1,1.6117959351459057
URY,Uruguay,Very High,LAC,48.0,1996,7.46999979,-0.08963682866017271
DZA,Algeria,High,AS,96.0,1997,5.143211934,-0.7928114192388293
AGO,Angola,Medium,SSA,148.0,1997,3.387140553,-1.3235107570307876
ARG,Argentina,Very High,LAC,47.0,1997,8.597999763,0.25125411983849044
AUS,Australia,Very High,Developed,7.0,1997,11.31556101,1.0725236706073884
AUT,Austria,Very High,Developed,22.0,1997,10.83428587,0.9270783311654995
BEL,Belgium,Very High,Developed,10.0,1997,10.28108884,0.7598975999800182
BOL,Bolivia,High,LAC,108.0,1997,6.765555594,-0.302525707992458
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1997,6.612996281,-0.34863039784680294
BRA,Brazil,High,LAC,84.0,1997,4.757730339,-0.9093071547829004
BGR,Bulgaria,Very High,Developed,55.0,1997,8.853333261,0.32841802090243233
CMR,Cameroon,Medium,SSA,155.0,1997,2.726216033,-1.5232476292840849
CAN,Canada,Very High,Developed,16.0,1997,11.96399994,1.2684872939958427
CHL,Chile,Very High,LAC,45.0,1997,8.928432676,0.35111368705830803
CHN,China,High,EAP,78.0,1997,5.52599988,-0.6771297267661337
COL,Colombia,High,LAC,83.0,1997,6.70727279,-0.32013925481186173
CRI,Costa Rica,Very High,LAC,62.0,1997,7.38184438,-0.11627812480334951
HRV,Croatia,Very High,Developed,41.0,1997,8.702000237,0.2826839257558443
CZE,Czech Republic,Very High,Developed,29.0,1997,10.42199993,0.8024821002228034
CIV,Ivory Coast,Medium,SSA,157.0,1997,2.705202213,-1.5295981799958267
DNK,Denmark,Very High,Developed,4.0,1997,11.97999978,1.2733225783610724
ECU,Ecuador,High,LAC,88.0,1997,7.149411678,-0.18652121535605404
EGY,Egypt,High,AS,100.0,1997,6.338999939,-0.43143436517415334
FRA,France,Very High,Developed,26.0,1997,8.894999981,0.3410100493081177
DEU,Germany,Very High,Developed,5.0,1997,11.81709213,1.2240905352268057
GHA,Ghana,Medium,SSA,143.0,1997,4.982277911,-0.8414470159226385
GRC,Greece,Very High,Developed,34.0,1997,8.715714318,0.2868284347911095
HND,Honduras,Medium,LAC,139.0,1997,4.39617899,-1.0185709714865387
ISL,Iceland,Very High,Developed,1.0,1997,11.34968749,1.0828369759394632
IRN,Iran,High,SA,75.0,1997,7.675155601,-0.027637040827019593
IRL,Republic of Ireland,Very High,Developed,11.0,1997,10.11000023,0.7081932028734255
ITA,Italy,Very High,Developed,29.0,1997,8.356371335,0.17823200461086802
JAM,Jamaica,High,LAC,117.0,1997,7.270999861,-0.14977625789043977
JPN,Japan,Very High,Developed,23.0,1997,11.95150013,1.2647097477290454
PRK,North Korea,Other Countries or Territories,EAP,,1997,6.847311528120001,-0.2778183865432921
KOR,South Korea,Very High,Developed,20.0,1997,10.24799995,0.7498978629526593
MEX,Mexico,High,LAC,81.0,1997,6.446999836,-0.39879590045134616
MAR,Morocco,High,AS,120.0,1997,2.9,-1.470728672934349
NLD,Netherlands,Very High,Developed,8.0,1997,11.56450816,1.1477575643315503
NZL,New Zealand,Very High,Developed,17.0,1997,12.00199966,1.2799711245840932
NGA,Nigeria,Medium,SSA,164.0,1997,3.985395838,-1.142713047430144
NOR,Norway,Very High,Developed,2.0,1997,11.96999979,1.270300498434057
PAN,Panama,Very High,LAC,59.0,1997,7.739000034,-0.008342723590604824
PRY,Paraguay,High,LAC,99.0,1997,6.477272684,-0.38964719467520176
PER,Peru,High,LAC,79.0,1997,8.186363654,0.12685427321428405
POL,Poland,Very High,Developed,35.0,1997,10.86088372,0.9351164220622669
PRT,Portugal,Very High,Developed,40.0,1997,6.485714163,-0.3870961097000946
QAT,Qatar,Very High,AS,43.0,1997,7.308386153,-0.13847781033211884
ROU,Romania,Very High,Developed,55.0,1997,9.184999943,0.4286504433480527
RUS,Russia,Very High,Developed,64.0,1997,11.18107126,1.0318797525770393
SAU,Saudi Arabia,Very High,AS,37.0,1997,6.314400675,-0.43886846680363006
SEN,Senegal,Low,SSA,169.0,1997,1.80877354,-1.8005063607714376
SRB,Serbia,Very High,ECA,62.0,1997,7.164375208,-0.18199911246892192
SVK,Slovakia,Very High,Developed,44.0,1997,9.020000076,0.3787861148816345
SVN,Slovenia,Very High,Developed,21.0,1997,9.503846242,0.5250084397071523
ZAF,South Africa,High,SSA,106.0,1997,8.076726864,0.09372112584899663
ESP,Spain,Very High,Developed,28.0,1997,7.256154097,-0.1542627709155136
SWE,Sweden,Very High,Developed,5.0,1997,10.89666653,0.9459302840594489
CHE,Switzerland,Very High,Developed,2.0,1997,10.54463744,0.8395441730118907
TGO,Togo,Medium,SSA,161.0,1997,2.875034729,-1.4782733849152205
TTO,Trinidad and Tobago,Very High,LAC,72.0,1997,8.436111185,0.20233004871573332
TUN,Tunisia,High,AS,105.0,1997,4.482039012,-0.9926233606369984
TUR,Turkey,Very High,ECA,51.0,1997,5.019765057,-0.8301180894489426
UKR,Ukraine,High,ECA,87.0,1997,10.45269448,0.8117582478413279
USA,United States,Very High,Developed,17.0,1997,13.06499996,1.6012186327357298
URY,Uruguay,Very High,LAC,48.0,1997,7.681428364,-0.025741359816416093
DZA,Algeria,High,AS,96.0,1998,5.298504949,-0.7458805819642728
AGO,Angola,Medium,SSA,148.0,1998,3.387140553,-1.3235107570307876
ARG,Argentina,Very High,LAC,47.0,1998,8.665999794,0.27180429326081557
AUS,Australia,Very High,Developed,7.0,1998,11.30553836,1.0694947426404104
AUT,Austria,Very High,Developed,22.0,1998,10.92500019,0.9544929511366042
BEL,Belgium,Very High,Developed,10.0,1998,10.36790141,0.7861330787364581
BOL,Bolivia,High,LAC,108.0,1998,6.876666705,-0.26894700859161136
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1998,6.612996281,-0.34863039784680294
BRA,Brazil,High,LAC,84.0,1998,4.92921295,-0.857483687305905
BGR,Bulgaria,Very High,Developed,55.0,1998,9.149999936,0.4180731509107509
CMR,Cameroon,Medium,SSA,155.0,1998,2.811217798,-1.4975593908191087
CAN,Canada,Very High,Developed,16.0,1998,12.13799992,1.3210715312659869
CHL,Chile,Very High,LAC,45.0,1998,9.001616551,0.373230461136952
CHN,China,High,EAP,78.0,1998,5.723999882,-0.6172924837695708
COL,Colombia,High,LAC,83.0,1998,6.759090987,-0.30447936585119006
CRI,Costa Rica,Very High,LAC,62.0,1998,7.440607346,-0.09851946904464534
HRV,Croatia,Very High,Developed,41.0,1998,9.009000254,0.37546187743070275
CZE,Czech Republic,Very High,Developed,29.0,1998,10.61066659,0.8594987298477356
CIV,Ivory Coast,Medium,SSA,157.0,1998,2.85012376,-1.4858016863812622
DNK,Denmark,Very High,Developed,4.0,1998,12.14499986,1.323186971197858
ECU,Ecuador,High,LAC,88.0,1998,7.20647049,-0.16927756907195352
EGY,Egypt,High,AS,100.0,1998,6.347999954,-0.42871448598684053
FRA,France,Very High,Developed,26.0,1998,9.087142808,0.3990772054349418
DEU,Germany,Very High,Developed,5.0,1998,12.0179827,1.2848013318499687
GHA,Ghana,Medium,SSA,143.0,1998,5.062362406,-0.8172448172399737
GRC,Greece,Very High,Developed,34.0,1998,8.845000029,0.3258996490686243
HND,Honduras,Medium,LAC,139.0,1998,4.463144252,-0.9983335138393289
ISL,Iceland,Very High,Developed,1.0,1998,11.47885881,1.121873620307915
IRN,Iran,High,SA,75.0,1998,7.936252319,0.051268553126312864
IRL,Republic of Ireland,Very High,Developed,11.0,1998,10.25000019,0.7505023520724694
ITA,Italy,Very High,Developed,29.0,1998,8.48901215,0.21831715914746816
JAM,Jamaica,High,LAC,117.0,1998,7.354499841,-0.12454187130963496
JPN,Japan,Very High,Developed,23.0,1998,11.9960001,1.2781580077862842
PRK,North Korea,Other Countries or Territories,EAP,,1998,6.92671972104,-0.2538205719590685
KOR,South Korea,Very High,Developed,20.0,1998,10.37199993,0.7873716854773117
MEX,Mexico,High,LAC,81.0,1998,6.51799984,-0.37733911030391515
MAR,Morocco,High,AS,120.0,1998,3.02,-1.4344636775451691
NLD,Netherlands,Very High,Developed,8.0,1998,11.63967209,1.1704727274555715
NZL,New Zealand,Very High,Developed,17.0,1998,12.26899967,1.3606607423471004
NGA,Nigeria,Medium,SSA,164.0,1998,4.161604474,-1.0894613359961973
NOR,Norway,Very High,Developed,2.0,1998,12.00714261,1.2815253667344002
PAN,Panama,Very High,LAC,59.0,1998,7.786000061,0.005861074429781146
PRY,Paraguay,High,LAC,99.0,1998,6.582727259,-0.3577779473740109
PER,Peru,High,LAC,79.0,1998,8.245454615,0.14471205178267696
POL,Poland,Very High,Developed,35.0,1998,10.98820185,0.9735930170406746
PRT,Portugal,Very High,Developed,40.0,1998,6.659999847,-0.3344255303112614
QAT,Qatar,Very High,AS,43.0,1998,7.422803157,-0.10390004264458781
ROU,Romania,Very High,Developed,55.0,1998,9.284000015,0.4585690863031232
RUS,Russia,Very High,Developed,64.0,1998,11.47359929,1.1202841497366705
SAU,Saudi Arabia,Very High,AS,37.0,1998,6.432933809,-0.40304677048717186
SEN,Senegal,Low,SSA,169.0,1998,1.777900899,-1.8098363289674109
SRB,Serbia,Very High,ECA,62.0,1998,7.256287122,-0.15422256965708317
SVK,Slovakia,Very High,Developed,44.0,1998,9.330000114,0.4724706977875967
SVN,Slovenia,Very High,Developed,21.0,1998,9.836153911,0.6254345737411022
ZAF,South Africa,High,SSA,106.0,1998,7.872331168,0.031951051073928975
ESP,Spain,Very High,Developed,28.0,1998,7.453846418,-0.09451851166933682
SWE,Sweden,Very High,Developed,5.0,1998,11.07999992,1.001335155251388
CHE,Switzerland,Very High,Developed,2.0,1998,10.57565108,0.8489167522752378
TGO,Togo,Medium,SSA,161.0,1998,2.944779507,-1.457195934476976
TTO,Trinidad and Tobago,Very High,LAC,72.0,1998,8.60555564,0.25353756854320875
TUN,Tunisia,High,AS,105.0,1998,4.637567179,-0.9456214584774773
TUR,Turkey,Very High,ECA,51.0,1998,5.163411803,-0.7867068512709373
UKR,Ukraine,High,ECA,87.0,1998,10.5826425,0.8510296173924363
USA,United States,Very High,Developed,17.0,1998,13.02999992,1.590641330325554
URY,Uruguay,Very High,LAC,48.0,1998,7.892856938,0.03815410902734053
DZA,Algeria,High,AS,96.0,1999,5.453797964,-0.6989497446897164
AGO,Angola,Medium,SSA,148.0,1999,3.387140553,-1.3235107570307876
ARG,Argentina,Very High,LAC,47.0,1999,8.733999825,0.2923544666831412
AUS,Australia,Very High,Developed,7.0,1999,11.29551572,1.0664658176955153
AUT,Austria,Very High,Developed,22.0,1999,11.01571451,0.9819075711077087
BEL,Belgium,Very High,Developed,10.0,1999,10.45471399,0.8123685605149813
BOL,Bolivia,High,LAC,108.0,1999,6.987777816,-0.23536830919076449
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1999,6.612996281,-0.34863039784680294
BRA,Brazil,High,LAC,84.0,1999,5.100695562,-0.8056602195267011
BGR,Bulgaria,Very High,Developed,55.0,1999,9.446666612,0.5077282812212773
CMR,Cameroon,Medium,SSA,155.0,1999,2.896219563,-1.4718711523541328
CAN,Canada,Very High,Developed,16.0,1999,12.31199989,1.373655765514048
CHL,Chile,Very High,LAC,45.0,1999,9.074800425,0.3953472349133877
CHN,China,High,EAP,78.0,1999,5.921999884,-0.5574552407730082
COL,Colombia,High,LAC,83.0,1999,6.810909185,-0.2888194765883103
CRI,Costa Rica,Very High,LAC,62.0,1999,7.499370313,-0.08076081298373285
HRV,Croatia,Very High,Developed,41.0,1999,9.316000271,0.4682398291055612
CZE,Czech Republic,Very High,Developed,29.0,1999,10.79933325,0.9165153594726683
CIV,Ivory Coast,Medium,SSA,157.0,1999,2.995045307,-1.4420051927666977
DNK,Denmark,Very High,Developed,4.0,1999,12.30999994,1.3730513640346436
ECU,Ecuador,High,LAC,88.0,1999,7.263529301,-0.15203392309006128
EGY,Egypt,High,AS,100.0,1999,6.356999969,-0.42599460679952744
FRA,France,Very High,Developed,26.0,1999,9.279285635,0.4571443615617664
DEU,Germany,Very High,Developed,5.0,1999,12.21887326,1.3455121254510498
GHA,Ghana,Medium,SSA,143.0,1999,5.1424469,-0.7930426188595171
GRC,Greece,Very High,Developed,34.0,1999,8.974285739,0.3649708630439313
HND,Honduras,Medium,LAC,139.0,1999,4.530109515,-0.9780960558899106
ISL,Iceland,Very High,Developed,1.0,1999,11.60803013,1.1609102646763665
IRN,Iran,High,SA,75.0,1999,8.197349037,0.13017414707964534
IRL,Republic of Ireland,Very High,Developed,11.0,1999,10.39000015,0.7928115012715139
ITA,Italy,Very High,Developed,29.0,1999,8.621652965,0.25840231368406774
JAM,Jamaica,High,LAC,117.0,1999,7.437999821,-0.09930748472883014
JPN,Japan,Very High,Developed,23.0,1999,12.04050007,1.2916062678435227
PRK,North Korea,Other Countries or Territories,EAP,,1999,7.006147941840001,-0.2298167047833789
KOR,South Korea,Very High,Developed,20.0,1999,10.49599991,0.8248455080019649
MEX,Mexico,High,LAC,81.0,1999,6.588999844,-0.3558823201564841
MAR,Morocco,High,AS,120.0,1999,3.14,-1.39819868215599
NLD,Netherlands,Very High,Developed,8.0,1999,11.71483603,1.1931878936016767
NZL,New Zealand,Very High,Developed,17.0,1999,12.53599968,1.4413503601101079
NGA,Nigeria,Medium,SSA,164.0,1999,4.33781311,-1.0362096245622505
NOR,Norway,Very High,Developed,2.0,1999,12.04428543,1.2927502350347426
PAN,Panama,Very High,LAC,59.0,1999,7.833000088,0.020064872450167116
PRY,Paraguay,High,LAC,99.0,1999,6.688181834,-0.3259087000728204
PER,Peru,High,LAC,79.0,1999,8.304545576,0.16256983035107037
POL,Poland,Very High,Developed,35.0,1999,11.11551998,1.0120696120190826
PRT,Portugal,Very High,Developed,40.0,1999,6.710000038,-0.31931505784398545
QAT,Qatar,Very High,AS,43.0,1999,7.537220162,-0.06932227465484846
ROU,Romania,Very High,Developed,55.0,1999,9.383000088,0.48848772956040154
RUS,Russia,Very High,Developed,64.0,1999,11.76612732,1.2086885468963022
SAU,Saudi Arabia,Very High,AS,37.0,1999,6.551466942,-0.3672250744729217
SEN,Senegal,Low,SSA,169.0,1999,1.747028259,-1.8191662968611757
SRB,Serbia,Very High,ECA,62.0,1999,7.348199036,-0.12644602684524442
SVK,Slovakia,Very High,Developed,44.0,1999,9.640000153,0.5661552809957672
SVN,Slovenia,Very High,Developed,21.0,1999,10.16846158,0.7258607077750522
ZAF,South Africa,High,SSA,106.0,1999,7.667935473,-0.029819023398930354
ESP,Spain,Very High,Developed,28.0,1999,7.651538739,-0.0347742524231603
SWE,Sweden,Very High,Developed,5.0,1999,11.26333332,1.0567400294654092
CHE,Switzerland,Very High,Developed,2.0,1999,10.60666472,0.8582893315385849
TGO,Togo,Medium,SSA,161.0,1999,3.014524284,-1.4361184843409398
TTO,Trinidad and Tobago,Very High,LAC,72.0,1999,8.775000095,0.30474508837068365
TUN,Tunisia,High,AS,105.0,1999,4.793095347,-0.8986195560157478
TUR,Turkey,Very High,ECA,51.0,1999,5.307058549,-0.7432956130929321
UKR,Ukraine,High,ECA,87.0,1999,10.71259053,0.8903009899656275
USA,United States,Very High,Developed,17.0,1999,12.99499989,1.5800640309374616
URY,Uruguay,Very High,LAC,48.0,1999,8.104285513,0.10204957817330547
DZA,Algeria,High,AS,96.0,2000,5.609090978,-0.652018907717368
AGO,Angola,Medium,SSA,148.0,2000,3.425745773,-1.3118439393199688
ARG,Argentina,Very High,LAC,47.0,2000,8.801999855,0.3129046398032585
AUS,Australia,Very High,Developed,7.0,2000,11.28549308,1.0634368927506206
AUT,Austria,Very High,Developed,22.0,2000,11.10642883,1.0093221910788133
BEL,Belgium,Very High,Developed,10.0,2000,10.54152656,0.8386040392714212
BOL,Bolivia,High,LAC,108.0,2000,7.098888927,-0.20178960978991786
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,2000,6.612996281,-0.34863039784680294
BRA,Brazil,High,LAC,84.0,2000,5.272178174,-0.7538367517474973
BGR,Bulgaria,Very High,Developed,55.0,2000,9.743333287,0.5973834112295959
CMR,Cameroon,Medium,SSA,155.0,2000,2.981221328,-1.4461829138891569
CAN,Canada,Very High,Developed,16.0,2000,12.48599987,1.4262400027841926
CHL,Chile,Very High,LAC,45.0,2000,9.1479843,0.4174640089920317
CHN,China,High,EAP,78.0,2000,6.119999886,-0.49761799777644555
COL,Colombia,High,LAC,83.0,2000,6.862727382,-0.27315958762763864
CRI,Costa Rica,Very High,LAC,62.0,2000,7.558133279,-0.06300215722502867
HRV,Croatia,Very High,Developed,41.0,2000,9.623000288,0.5610177807804198
CZE,Czech Republic,Very High,Developed,29.0,2000,10.98799992,0.9735319921196836
CIV,Ivory Coast,Medium,SSA,157.0,2000,3.139966854,-1.398208699152133
DNK,Denmark,Very High,Developed,4.0,2000,12.47500002,1.4229157568714286
ECU,Ecuador,High,LAC,88.0,2000,7.320588112,-0.13479027710816907
EGY,Egypt,High,AS,100.0,2000,6.365999985,-0.42327472731000626
FRA,France,Very High,Developed,26.0,2000,9.471428462,0.5152115176885905
DEU,Germany,Very High,Developed,5.0,2000,12.41976383,1.4062229220742135
GHA,Ghana,Medium,SSA,143.0,2000,5.222531394,-0.7688404204790609
GRC,Greece,Very High,Developed,34.0,2000,9.103571449,0.4040420770192378
HND,Honduras,Medium,LAC,139.0,2000,4.597074777,-0.9578585982427008
ISL,Iceland,Very High,Developed,1.0,2000,11.73720145,1.1999469090448187
IRN,Iran,High,SA,75.0,2000,8.458445755,0.20907974103297752
IRL,Republic of Ireland,Very High,Developed,11.0,2000,10.53000011,0.8351206504705578
ITA,Italy,Very High,Developed,29.0,2000,8.75429378,0.29848746822066785
JAM,Jamaica,High,LAC,117.0,2000,7.521499801,-0.07407309814802532
JPN,Japan,Very High,Developed,23.0,2000,12.08500004,1.3050545279007615
PRK,North Korea,Other Countries or Territories,EAP,,2000,7.087141577280001,-0.20533975631850834
KOR,South Korea,Very High,Developed,20.0,2000,10.61999989,0.8623193305266179
MEX,Mexico,High,LAC,81.0,2000,6.659999847,-0.3344255303112614
MAR,Morocco,High,AS,120.0,2000,3.26,-1.3619336867668104
NLD,Netherlands,Very High,Developed,8.0,2000,11.78999996,1.2159030567256979
NZL,New Zealand,Very High,Developed,17.0,2000,12.80299969,1.522039977873115
NGA,Nigeria,Medium,SSA,164.0,2000,4.514021747,-0.9829579128260956
NOR,Norway,Very High,Developed,2.0,2000,12.08142826,1.3039751063571678
PAN,Panama,Very High,LAC,59.0,2000,7.880000114,0.03426867016834477
PRY,Paraguay,High,LAC,99.0,2000,6.793636409,-0.29403945277162963
PER,Peru,High,LAC,79.0,2000,8.363636537,0.18042760891946327
POL,Poland,Very High,Developed,35.0,2000,11.24283811,1.0505462069974902
PRT,Portugal,Very High,Developed,40.0,2000,6.789999962,-0.2951384172190298
QAT,Qatar,Very High,AS,43.0,2000,7.651637166,-0.03474450696731715
ROU,Romania,Very High,Developed,55.0,2000,9.48200016,0.5184063725154721
RUS,Russia,Very High,Developed,64.0,2000,12.05865535,1.2970929440559333
SAU,Saudi Arabia,Very High,AS,37.0,2000,6.670000076,-0.33140337815646354
SEN,Senegal,Low,SSA,169.0,2000,1.716155618,-1.8284962650571488
SRB,Serbia,Very High,ECA,62.0,2000,7.44011095,-0.09866948403340538
SVK,Slovakia,Very High,Developed,44.0,2000,9.950000191,0.6598398639017294
SVN,Slovenia,Very High,Developed,21.0,2000,10.50076925,0.8262868421112098
ZAF,South Africa,High,SSA,106.0,2000,7.463539778,-0.09158909787178969
ESP,Spain,Very High,Developed,28.0,2000,7.84923106,0.024970006823016228
SWE,Sweden,Very High,Developed,5.0,2000,11.44666672,1.1121449036794309
CHE,Switzerland,Very High,Developed,2.0,2000,10.63767836,0.8676619108019324
TGO,Togo,Medium,SSA,161.0,2000,3.084269062,-1.4150410339026953
