iso3,country,hdicode,region,hdi_rank_2023,year,mean_school_years,norm_mean_school_years
CRI,Costa Rica,Very High,LAC,62.0,1991,6.899582793,-0.2620215767111276
HRV,Croatia,Very High,Developed,41.0,1991,6.860000134,-0.273983784595515
CZE,Czech Republic,Very High,Developed,29.0,1991,9.289999962,0.4603823200555424
CIV,Ivory Coast,Medium,SSA,157.0,1991,2.059818256,-1.7246385652029552
DNK,Denmark,Very High,Developed,4.0,1991,11.5,1.1282626632901795
ECU,Ecuador,High,LAC,88.0,1991,6.807058811,-0.2899830915496154
EGY,Egypt,High,AS,100.0,1991,5.465856736,-0.6953054837648899
FRA,France,Very High,Developed,26.0,1991,7.742143018,-0.007392887755035912
DEU,Germany,Very High,Developed,5.0,1991,10.57393404,0.8483978485445456
GHA,Ghana,Medium,SSA,143.0,1991,4.310931298,-1.0443335311308573
GRC,Greece,Very High,Developed,34.0,1991,7.940000057,0.05240115063706149
HND,Honduras,Medium,LAC,139.0,1991,3.943711,-1.1553105512457165
ISL,Iceland,Very High,Developed,1.0,1991,10.62434086,0.8636312076685725
IRN,Iran,High,SA,75.0,1991,6.021543055,-0.5273724687951805
IRL,Republic of Ireland,Very High,Developed,11.0,1991,9.270000458,0.4543383040526603
ITA,Italy,Very High,Developed,29.0,1991,7.568688958,-0.05981214347282309
JAM,Jamaica,High,LAC,117.0,1991,6.769999981,-0.3011825773752687
JPN,Japan,Very High,Developed,23.0,1991,11.68450031,1.1840201873856147
PRK,North Korea,Other Countries or Territories,EAP,,1991,6.3427243872,-0.4303088060341514
KOR,South Korea,Very High,Developed,20.0,1991,9.416000366,0.49846068730633225
MEX,Mexico,High,LAC,81.0,1991,6.020999813,-0.5275366410337239
MAR,Morocco,High,AS,120.0,1991,2.22,-1.6762303134730325
NLD,Netherlands,Very High,Developed,8.0,1991,11.16506554,1.0270426912270354
NZL,New Zealand,Very High,Developed,17.0,1991,10.39999962,0.7958334240502154
NGA,Nigeria,Medium,SSA,164.0,1991,2.92814402,-1.4622233166382406
NOR,Norway,Very High,Developed,2.0,1991,11.74714286,1.2029512856099183
