iso3,country,hdicode,region,hdi_rank_2023,year,life_expectancy,norm_life_expectancy
ECU,Ecuador,High,LAC,88.0,1991,69.04,0.04314103596097928
EGY,Egypt,High,AS,100.0,1991,63.059,-0.5840663905417919
FRA,France,Very High,Developed,26.0,1991,77.016,0.8795574268297462
DEU,Germany,Very High,Developed,5.0,1991,75.56,0.72687158616965
GHA,Ghana,Medium,SSA,143.0,1991,55.722,-1.3534729928241565
GRC,Greece,Very High,Developed,34.0,1991,77.386,0.9183580868875992
HND,Honduras,Medium,LAC,139.0,1991,65.584,-0.3192781023091387
ISL,Iceland,Very High,Developed,1.0,1991,77.757,0.9572636135942593
IRN,Iran,High,SA,75.0,1991,66.233,-0.2512196472346866
IRL,Republic of Ireland,Very High,Developed,11.0,1991,75.027,0.6709776623565791
ITA,Italy,Very High,Developed,29.0,1991,76.99,0.8768308939608148
JAM,Jamaica,High,LAC,117.0,1991,71.787,0.3312097202283443
JPN,Japan,Very High,Developed,23.0,1991,79.262,1.1150879200458002
PRK,North Korea,Other Countries or Territories,EAP,,1991,70.717,0.2190024060069818
KOR,South Korea,Very High,Developed,20.0,1991,71.402,0.29083606043841453
MEX,Mexico,High,LAC,81.0,1991,69.368,0.07753729676902169
MAR,Morocco,High,AS,120.0,1991,62.919,-0.5987477213744935
NLD,Netherlands,Very High,Developed,8.0,1991,77.162,0.8948679575552779
NZL,New Zealand,Very High,Developed,17.0,1991,76.079,0.7812973768994498
NGA,Nigeria,Medium,SSA,164.0,1991,45.483,-2.427202609938664
NOR,Norway,Very High,Developed,2.0,1991,77.038,0.8818644931034556
PAN,Panama,Very High,LAC,59.0,1991,71.331,0.28339052837325895
PRY,Paraguay,High,LAC,99.0,1991,67.676,-0.09989707300905605
PER,Peru,High,LAC,79.0,1991,64.248,-0.4593799451126332
POL,Poland,Very High,Developed,35.0,1991,70.653,0.21229094048346184
PRT,Portugal,Very High,Developed,40.0,1991,74.241,0.5885524763958403
QAT,Qatar,Very High,AS,43.0,1991,73.654,0.5269957535472986
ROU,Romania,Very High,Developed,55.0,1991,70.046,0.1486368846588203
RUS,Russia,Very High,Developed,64.0,1991,68.997,0.03863177006236315
SAU,Saudi Arabia,Very High,AS,37.0,1991,69.341,0.07470589725128628
SEN,Senegal,Low,SSA,169.0,1991,57.037,-1.2155733496455674
SRB,Serbia,Very High,ECA,62.0,1991,71.938,0.3470445841979005
SVK,Slovakia,Very High,Developed,44.0,1991,70.921,0.24039520236320483
SVN,Slovenia,Very High,Developed,21.0,1991,73.475,0.5082246234112014
ZAF,South Africa,High,SSA,106.0,1991,62.983,-0.5920362558509727
ESP,Spain,Very High,Developed,28.0,1991,77.129,0.8914073581447124
SWE,Sweden,Very High,Developed,5.0,1991,77.728,0.9542224807789128
CHE,Switzerland,Very High,Developed,2.0,1991,77.648,0.9458331488745122
TGO,Togo,Medium,SSA,161.0,1991,54.255,-1.5073123666211075
TTO,Trinidad and Tobago,Very High,LAC,72.0,1991,67.782,-0.08878120823572547
TUN,Tunisia,High,AS,105.0,1991,69.398,0.08068329623317214
TUR,Turkey,Very High,ECA,51.0,1991,68.287,-0.03582355058919394
UKR,Ukraine,High,ECA,87.0,1991,69.688,0.11109462438662596
USA,United States,Very High,Developed,17.0,1991,75.524,0.7230963868126695
URY,Uruguay,Very High,LAC,48.0,1991,73.198,0.4791765616922133
DZA,Algeria,High,AS,96.0,1992,67.725,-0.09475860721761131
AGO,Angola,Medium,SSA,148.0,1992,42.267,-2.7644537524955783
ARG,Argentina,Very High,LAC,47.0,1992,72.096,0.36361351470909237
AUS,Australia,Very High,Developed,7.0,1992,77.473,0.9274814853336355
AUT,Austria,Very High,Developed,22.0,1992,75.992,0.772173978453415
BEL,Belgium,Very High,Developed,10.0,1992,76.358,0.8105551719160489
BOL,Bolivia,High,LAC,108.0,1992,57.923,-1.1226614988043275
BIH,Bosnia and Herzegovina,Very High,ECA,74.0,1992,51.967,-1.7472472590869728
BRA,Brazil,High,LAC,84.0,1992,66.539,-0.2191304527003535
BGR,Bulgaria,Very High,Developed,55.0,1992,71.178,0.26734593110609167
CMR,Cameroon,Medium,SSA,155.0,1992,54.053,-1.5284954296797202
CAN,Canada,Very High,Developed,16.0,1992,77.853,0.9673308118795392
CHL,Chile,Very High,LAC,45.0,1992,74.367,0.6017656741452723
CHN,China,High,EAP,78.0,1992,69.059,0.04513350228827358
COL,Colombia,High,LAC,83.0,1992,68.764,0.014197840890795177
CRI,Costa Rica,Very High,LAC,62.0,1992,76.385,0.8133865714337843
HRV,Croatia,Very High,Developed,41.0,1992,71.721,0.32428852140721326
CZE,Czech Republic,Very High,Developed,29.0,1992,72.33,0.38815231052946436
CIV,Ivory Coast,Medium,SSA,157.0,1992,52.429,-1.6987988673390575
DNK,Denmark,Very High,Developed,4.0,1992,75.269,0.6963553913673922
ECU,Ecuador,High,LAC,88.0,1992,69.468,0.08802396164952367
EGY,Egypt,High,AS,100.0,1992,63.585,-0.5289065332703557
FRA,France,Very High,Developed,26.0,1992,77.297,0.9090249551439534
DEU,Germany,Very High,Developed,5.0,1992,76.004,0.7734323782390752
GHA,Ghana,Medium,SSA,143.0,1992,56.055,-1.3185523987720882
GRC,Greece,Very High,Developed,34.0,1992,77.306,0.9099687549831985
HND,Honduras,Medium,LAC,139.0,1992,65.908,-0.28530130809631543
ISL,Iceland,Very High,Developed,1.0,1992,78.587,1.0443029321024182
IRN,Iran,High,SA,75.0,1992,66.653,-0.2071756547365818
IRL,Republic of Ireland,Very High,Developed,11.0,1992,75.423,0.7125048552833635
ITA,Italy,Very High,Developed,29.0,1992,77.365,0.9161558872626939
JAM,Jamaica,High,LAC,117.0,1992,71.816,0.3342508530436892
JPN,Japan,Very High,Developed,23.0,1992,79.303,1.1193874526468053
PRK,North Korea,Other Countries or Territories,EAP,,1992,71.009,0.24962346745804515
KOR,South Korea,Very High,Developed,20.0,1992,72.175,0.37189797996468754
MEX,Mexico,High,LAC,81.0,1992,69.663,0.10847295816650009
MAR,Morocco,High,AS,120.0,1992,63.388,-0.5495652630849432
NLD,Netherlands,Very High,Developed,8.0,1992,77.365,0.9161558872626939
NZL,New Zealand,Very High,Developed,17.0,1992,76.191,0.7930424415656119
NGA,Nigeria,Medium,SSA,164.0,1992,45.587,-2.416296478462942
NOR,Norway,Very High,Developed,2.0,1992,77.246,0.9036767560548976
PAN,Panama,Very High,LAC,59.0,1992,71.461,0.2970231927179099
PRY,Paraguay,High,LAC,99.0,1992,67.961,-0.0700100780996283
